t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.254530983616199,0.00146426301621176,23.5584556293727,11.4396581640634,0.00086691670815785,0.000967583707178863,0.000872687837901356,2.10146067509255e-05,0.002181934228421
15,NaN,NaN,NaN,26.2463498612262,NaN,NaN,NaN,NaN,0.00305169140217033
20,NaN,NaN,16.4544712613425,NaN,0.0159077468389238,NaN,0.00396360009574086,NaN,NaN
25,0.239788917657056,0.0260417949627723,NaN,NaN,NaN,0.0144661417442501,NaN,0.000167518498628843,NaN
35,NaN,NaN,15.0677034532375,37.1434770440782,NaN,NaN,NaN,NaN,0.0277804253159467
40,NaN,NaN,NaN,NaN,0.0230018231161382,NaN,0.0178111706902825,NaN,NaN
45,NaN,0.0349109284746311,NaN,NaN,NaN,0.0255474467416197,NaN,0.000454280406977341,NaN
50,0.200921064447847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,19.2015317731335,29.7978963900633,NaN,NaN,NaN,NaN,0.0522586251719079
60,NaN,NaN,NaN,NaN,NaN,NaN,0.0219424922770013,NaN,NaN
65,NaN,NaN,NaN,NaN,0.022555078510121,NaN,NaN,NaN,NaN
70,NaN,0.0293445582196286,NaN,41.8549056012777,NaN,0.0231498806010559,NaN,NaN,NaN
75,0.211857779371615,NaN,14.4401158563423,NaN,NaN,NaN,NaN,0.000555359437983411,0.0551443019020116
80,NaN,NaN,NaN,NaN,NaN,NaN,0.0218267486579633,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0209768709798531,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,25.6819208318541,NaN,NaN,NaN,NaN,0.0529171999014139
100,0.210334026502434,0.025884018358563,12.7776521237793,34.6498121380284,0.0253107385431747,0.0205379556516772,0.020779799854625,0.000652747019651609,0.0526349016506091
150,0.200768233557462,0.0261590185205158,13.3159015748107,25.8805243666359,0.0217740637088442,0.0218659619795997,0.0224659926180798,0.000604898457873151,0.0683904701229948
200,0.225704552753986,0.0306574516349788,12.1867405429181,29.4778824687046,0.0195680335767048,0.0213839068704876,0.016734078250259,0.00061732530575879,0.0523136469431066
250,0.194488977922951,0.0251817226760002,15.1890947779809,32.4931742872243,0.0213111732130276,0.0215805036706728,0.0219126417966337,0.000482796101714246,0.0496702132794951
300,0.225965566793972,0.0279174579817317,14.5929178627544,NaN,0.0201035321851669,0.0230390878502626,0.0234033320237662,NaN,0.0526281123687525
350,0.202146198148032,0.0250161664072954,14.4817056751487,28.1873113937946,0.0180240162390809,0.0181101353204436,NaN,0.000486116216253828,NaN
450,0.19800604587711,0.028090012714761,NaN,NaN,NaN,NaN,NaN,NaN,NaN
