t,JAK1_gp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,SOCS3_Obs
0,0.459581341252737,0.00187034524715116,0.00152373205743689,0.0183167989440934
10,NaN,NaN,0.00257383673792386,0.0148788834532639
15,0.378563461175002,0.028600091469191,NaN,NaN
20,NaN,NaN,NaN,0.0703613524026802
25,NaN,0.0645848385626725,0.0449995049708543,NaN
35,0.52723145834691,NaN,NaN,0.388063942298559
40,NaN,0.039622526499959,0.0462073672695089,NaN
50,0.421982021249671,NaN,NaN,0.413517900377246
55,NaN,NaN,0.021081744067387,NaN
60,NaN,0.0152216543617492,NaN,NaN
65,NaN,NaN,NaN,0.165688119007788
70,0.374221812713363,NaN,0.0114185933201444,NaN
80,NaN,0.00814834314141784,NaN,NaN
85,NaN,NaN,NaN,0.115761850253736
90,0.443824409422672,NaN,0.00501718485510249,NaN
100,0.488671271340856,0.00296476935584494,0.00258567044180562,0.0431109623308586
150,0.437627175953373,0.00160026111281423,0.00155457555687648,0.0159342495448234
200,0.567220118050241,NaN,NaN,NaN
250,0.484443719794299,NaN,NaN,NaN
300,0.508558112488749,NaN,NaN,NaN
350,0.394580188584176,NaN,NaN,NaN
