t,tpSTAT3_Obs,Compound_2_Obs,Compound_4_Obs
0,0.279366531379802,1.21079513574725,61.0688738461148
9,6.67089773603186,NaN,NaN
10,NaN,7.25078228488675,123.001750509507
20,3.63312780467092,NaN,91.3305839645827
25,NaN,3.60086816405936,NaN
30,1.69118430940512,NaN,NaN
35,NaN,2.15026825554596,69.1573865836606
40,0.915340335546404,NaN,NaN
50,0.704231441501952,1.59249349276125,66.4486862923914
65,0.303570901743044,NaN,59.2870554585899
70,NaN,1.14608402844263,NaN
80,0.50177154624252,NaN,68.5824036856359
90,NaN,1.08606063514428,NaN
100,0.636431060621435,1.03669702158631,70.4363593922378
150,0.498267430079086,1.25881488523705,69.7803840977757
