t,nSOCS3RNA5_Obs,Compound_1_Obs
0,0.00144492622638163,86.7081327141235
15,NaN,170.813637988809
25,0.0181437179633353,NaN
35,NaN,167.216469216059
50,NaN,168.480760191532
55,0.0162544231947429,NaN
70,NaN,147.200728445049
85,0.0163252135584794,NaN
90,NaN,163.148354055649
100,0.0156092859832871,143.449573219331
150,0.0142079193372943,146.569958098044
200,0.0138774953005262,131.152256089059
250,0.0129745335850081,135.885729944898
300,0.0138898783932372,122.749243239035
350,0.0119389549414716,121.375014745128
450,0.00978879576030883,NaN
