t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA3_Obs
0,0.00104440857216187,24.2072882475306,0.00577407495631437
9,NaN,NaN,1.50463499481728
15,0.0161032629480179,17.946671078418,NaN
20,NaN,NaN,1.6238934674643
30,2.15568742400612e-05,13.8360350880917,0.0311971385048399
40,NaN,NaN,0.00157662453962357
45,9.62006417898349e-05,17.1517495810577,NaN
55,NaN,NaN,0.000981848375081733
65,0.000177879823657747,16.5572688842748,NaN
70,NaN,NaN,0.000747106327835108
85,0.000365542856660612,15.514584871488,0.00118373472509573
100,0.000368211412777958,18.9219538181708,0.00114712768109341
150,0.000583947025236674,16.1078985521758,0.00160957407064866
200,NaN,15.7041477172767,NaN
250,NaN,20.5655461710912,NaN
