t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0193438054471032,0.00135976759984577,0.393632991175774
6.5,19.0812373644819,NaN,NaN
9.5,NaN,NaN,14.3713093002064
15,18.2059060286947,NaN,NaN
20,5.51860571607709,0.681640453336296,12.9209217704648
30,0.259506829003542,NaN,2.00096155235713
35,NaN,0.568539713447754,NaN
40,0.0321197604608429,NaN,NaN
45,NaN,NaN,0.0394171222828442
50,0.00691896124767473,NaN,NaN
55,NaN,0.0620726716423005,0.00620901168901739
65,0.0112099070569543,NaN,NaN
75,NaN,NaN,0.0370399877918203
80,NaN,0.00182633455233484,NaN
95,NaN,NaN,0.0812472520942113
100,NaN,0.00127733359813531,NaN
150,NaN,0.00177273453567612,NaN
200,NaN,0.0017054004569239,NaN
250,NaN,0.00188283256659854,NaN
300,NaN,0.0014394730450632,NaN
350,NaN,0.00226981002684753,NaN
