t,input_il6,SOCS3RNA_Obs
75,0.1,7.14794170520668e-06
75,0.1,9.10296210096486e-06
75,0.5,-8.62508314239861e-06
75,0.5,2.69842727755814e-05
75,1,-1.37527129163603e-05
75,1,3.51534295416297e-05
75,2.5,-5.25776686161956e-06
75,2.5,1.5451711899878e-05
75,5,8.94222286377658e-06
75,5,2.0054879984003e-05
75,10,3.45853323527593e-05
75,10,7.98386091625749e-05
75,25,0.000203550892063089
75,25,0.000214223111171097
75,50,0.000421835846447007
75,50,0.000422436287722264
75,100,0.000797377233160628
75,100,0.00082208007665296
75,500,0.00189311147065297
75,500,0.00189534108281126
