t,STAT3_Obs,nSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,29.0175335943443,27.5304410064388,0.00040611446456231,5.79018337441212e-05
15,NaN,NaN,NaN,0.0193907512330443
20,16.6867001904775,60.3950771075234,0.0367273114186472,NaN
35,21.0454577383243,NaN,NaN,0.0314388231739185
40,NaN,51.6811786440398,0.0262081613287934,NaN
55,22.8883896035714,NaN,NaN,0.0224040247937124
60,NaN,46.4899802926652,NaN,NaN
65,NaN,NaN,0.0197189145766359,NaN
75,22.1861479124926,NaN,NaN,0.0193545486154663
80,NaN,46.5446252332916,NaN,NaN
85,NaN,NaN,0.0172765692905355,NaN
95,24.395662841409,NaN,NaN,0.0184445484913525
100,24.2730945906706,33.1311165749558,0.0100768213400132,0.0137205849305314
150,27.3852069723218,28.2924491958369,1.59046628030986e-05,-0.000424672757479588
200,28.961016752461,24.2934110727592,-0.000191438768728503,0.000669433949179847
250,27.174985199666,24.0995218493128,0.000318369282014507,-0.000877395076169466
300,27.0964118715872,25.5698712691221,-0.000661414869622768,NaN
350,28.0629763103847,26.6008103600549,0.000917914770022774,NaN
400,29.6470526369113,NaN,NaN,NaN
450,NaN,28.609481195518,NaN,NaN
