t,input_il6,pJAK1_pgp130_Obs
1900,0.1,-11.4293876526191
1900,0.1,2.68180956453441
1900,0.5,-8.09444592441805
1900,0.5,4.55078462143571
1900,1,-4.94311861576014
1900,1,4.68916511011006
1900,2.5,-5.55647464112838
1900,2.5,8.75512903956662
1900,5,-5.66210416016294
1900,5,-3.25355683220454
1900,10,-1.12137574045743
1900,10,6.541010100164
1900,25,-2.90089019155985
1900,25,-0.522269248186055
1900,50,6.3961596038812
1900,50,16.1476551618942
1900,100,-2.68774450678256
1900,100,-0.40325588959965
1900,500,-4.77839267704552
1900,500,5.78673964183234
