t,input_il6,Compound_1_Obs
670,0.1,26.2041394655633
670,0.1,18.9127424333737
670,0.5,22.4617586238535
670,0.5,12.7248029312228
670,1,13.7487911145459
670,1,13.8950252768345
670,2.5,27.1683610153076
670,2.5,22.1528849298811
670,5,31.0920913154493
670,5,40.7658907240804
670,10,15.7948501867291
670,10,19.0827959179241
670,25,25.9862508541684
670,25,27.8972877490333
670,50,22.3777305878133
670,50,22.0413621773621
670,100,31.3901727698318
670,100,27.8011539672727
670,500,52.941080925986
670,500,57.090099649716
