t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000325375650606896,0.000907656912378266,-0.997598670607751,-3.19367558576812,0.130664616630143
3,NaN,NaN,10.4136213891264,NaN,NaN
3.5,NaN,NaN,NaN,5.5937696631698,NaN
4.5,NaN,NaN,NaN,NaN,-0.0285169682640153
5.5,NaN,NaN,-0.0622624121866058,NaN,NaN
6.5,NaN,NaN,NaN,3.42073559519217,NaN
8.5,NaN,NaN,68.9312693559987,NaN,NaN
9,NaN,NaN,NaN,NaN,-0.261477953964876
9.5,NaN,0.0412842052163472,NaN,NaN,NaN
10,NaN,NaN,161.97865089918,14.8187939731787,NaN
15,1.01968285826678e-05,NaN,309.400705672737,131.054901114701,2.77538444556642
20,NaN,-5.53141004605586e-07,187.434921565397,227.257214590012,7.71878386344802
25,NaN,NaN,77.6649149328797,177.687763656803,9.15746485644912
30,1.0513026961994e-05,-0.00077589277348118,22.5530624029931,111.148448684201,7.37237390569943
35,NaN,NaN,19.1380352651586,NaN,NaN
40,NaN,NaN,NaN,23.1788404200311,2.33097803411082
45,-6.78379150869467e-06,-1.83539474689056e-05,7.22496452811468,10.0801366166867,0.936088407400015
50,NaN,NaN,-1.59282336154316,NaN,NaN
55,NaN,0.000296448677445864,NaN,-5.62372857785255,NaN
60,8.14230502552809e-06,NaN,NaN,NaN,-0.143409825418369
65,NaN,NaN,NaN,-3.80117672749272,NaN
70,NaN,0.000297563759023124,NaN,NaN,-0.0642485879785897
80,3.6708429175978e-05,NaN,NaN,NaN,NaN
90,NaN,-4.45422358673346e-06,NaN,NaN,NaN
100,6.31535255628271e-05,-0.000106074214057111,NaN,NaN,NaN
150,0.000133262725035867,8.6286639833218e-05,NaN,NaN,NaN
