t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs
0,0.188450952998487,0.000326925339234354,0.00118245929970621,32.4368046090631
10,NaN,0.00802122535173936,0.0246966549345817,46.75155305908
20,NaN,NaN,NaN,50.5498614084256
25,NaN,0.000627534115108289,0.0196286156325115,NaN
30,0.148575934842487,NaN,NaN,39.1110681282649
35,NaN,NaN,0.00423675297079455,NaN
40,NaN,0.000289719605239855,NaN,NaN
45,NaN,NaN,NaN,24.5847357490555
50,NaN,NaN,0.000352366538644336,NaN
55,0.127645311010264,0.000268496623077591,NaN,NaN
60,NaN,NaN,NaN,30.0996043167332
70,NaN,6.58519288616362e-05,-0.00152924363369721,NaN
75,NaN,NaN,NaN,47.4403802824236
85,0.0815633759230612,NaN,0.000340817537559402,NaN
90,NaN,7.54945752193593e-05,NaN,NaN
95,NaN,NaN,NaN,36.1736598910833
100,0.0481763500169426,1.21472940646857e-05,0.00160554211782672,24.6227634366644
150,0.101388162081421,0.000327437757523481,0.000890079562079482,44.6220712432
200,0.127497143198857,NaN,NaN,NaN
250,0.13107519896334,NaN,NaN,NaN
300,0.14054170908735,NaN,NaN,NaN
350,0.173699588655989,NaN,NaN,NaN
450,0.138401650054895,NaN,NaN,NaN
