t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs
0,0.17903374930096,-0.000401458653836266,0.00162140288582886
20,NaN,0.0117995592305852,NaN
25,0.102270109062581,NaN,0.0465479973934444
40,NaN,0.00950397523396218,NaN
45,0.0802678951678469,NaN,0.0434078809804667
65,NaN,0.0086655045782761,NaN
70,0.0650674738891782,NaN,0.0362219568741501
85,NaN,0.0081993662516387,NaN
95,0.0435776041309471,NaN,0.0318843750112836
100,NaN,0.00695976354663153,NaN
150,0.0476659112778335,0.00325488870055518,0.0148476419437945
200,0.0404038858603793,0.00382773721100543,0.0151760981322367
250,0.0224699990982199,0.00260369246170754,0.00936722432207988
300,0.0131911701148142,0.00138390507282366,0.00441013247966426
350,0.0233564808928325,0.00145802716685039,0.00471878869378488
450,0.00252115331324266,NaN,0.00476084132286205
