t,input_ruxolitinib,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
11,0,0.000714451395847991,0.0135969069147277
11,10,0.000731181490716017,0.0194661892863212
11,50,0.000754389079126449,0.00590279249502445
11,100,0.000656614563176432,0.0220669341948198
11,200,0.000848061322168526,0.0209583376235461
11,400,0.00069319410728653,0.0249427446442861
11,500,0.000640240641003053,0.012179449181891
11,600,0.000736792382227561,0.0154857015438474
11,800,0.000692533224900443,0.0237131318521435
11,1000,0.000744921650081391,0.0156076756181908
11,2000,0.000355347964022675,0.0173368695535635
11,2000,0.000598657018101997,0.0210210520311419
11,5000,0.000369834858475633,0.0155289841491389
11,5000,0.000518325752984926,0.0211329143905752
