t,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0253980343956436,0.0239174432026231,28.1156842003983,46.8450138747683
4.5,NaN,0.0224576958690288,NaN,NaN
5.5,0.0190557667310281,NaN,NaN,NaN
9,NaN,0.0180915353098717,NaN,NaN
10,0.0108107363700119,NaN,NaN,NaN
15,0.0046905157091727,0.009010660182538,93.9740113775041,45.2337627623925
20,NaN,0.00416459528100827,NaN,NaN
25,0.0015229414470358,0.00103164910664792,NaN,NaN
30,0.000531015621955012,-0.000916604894243626,NaN,NaN
35,NaN,NaN,88.0141463304969,38.8370886177093
40,-0.00019231446093977,-0.000559255376383989,NaN,NaN
50,-0.000305927341662317,7.84496172249419e-05,92.7900396590233,45.7519650383491
60,-0.000313221597408059,-0.00114452455378082,NaN,NaN
70,NaN,-0.000457082686735469,92.0669639989558,35.10872934329
75,0.000532023582996125,NaN,NaN,NaN
85,NaN,NaN,NaN,42.3154231705026
90,0.000321368860489764,NaN,77.8914717835756,NaN
100,NaN,NaN,84.5808760297654,41.5542388344549
150,NaN,NaN,69.3394662528143,48.3658298856112
200,NaN,NaN,76.599301290989,46.417502334483
250,NaN,NaN,61.9489019058223,47.3454206258656
300,NaN,NaN,68.4836560872176,44.1090955331334
350,NaN,NaN,58.7224257691275,44.1967053711406
400,NaN,NaN,NaN,45.3311321124207
450,NaN,NaN,51.4689361833152,40.4550817220983
