t,nSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,28.2794853904619,-1.02589767665902,-0.000683199886400079
9.5,57.3622244179073,9.49732755348337,NaN
10,NaN,NaN,0.00295322157665583
20,45.5875440901954,35.5991185029758,NaN
25,NaN,NaN,0.058457951586842
30,29.1466706115509,8.1483310760615,NaN
40,31.1112391173005,2.07675652288383,0.165172834424815
55,24.5698622043085,-0.121636433156868,0.127898520177535
70,29.9931687368385,-0.270486337061612,0.0542988445026808
90,34.1494478025782,-0.811585182913628,0.000828319155382335
100,35.1668558170425,0.312857913424657,0.000660316501539944
150,NaN,NaN,-0.00860334039623969
