t,JAK1_gp130_Obs,STAT3_Obs,tpSTAT3_Obs
0,0.202487907065542,37.9703248181192,0.718018352703628
9.5,NaN,16.0823120320976,23.9447944087376
20,NaN,27.2557656563692,12.4188223888495
25,0.119016930091478,NaN,NaN
30,NaN,38.7102070695,4.0018930200418
40,NaN,38.0300326890964,NaN
45,0.0368102625675816,NaN,0.797038086499293
55,NaN,47.6593062819593,0.453811220349749
70,0.0515950275123183,39.2812793079718,NaN
75,NaN,NaN,0.320173995148343
95,NaN,34.8334296872639,0.275940108421578
100,0.0882378020304214,37.9800627587035,0.290061320120088
150,0.113073235782823,NaN,NaN
200,0.129834725311347,NaN,NaN
250,0.122866967015285,NaN,NaN
300,0.162491435696018,NaN,NaN
350,0.175457412942347,NaN,NaN
450,0.185178400788868,NaN,NaN
