t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.00101337508747794,9.10449295756661,0.012935373900481,0.0149941259508634
5,NaN,NaN,0.0275832209132137,NaN
8,NaN,NaN,NaN,0.0575590363796061
9.5,NaN,15.4242555749461,NaN,NaN
10,NaN,NaN,0.226160541035697,NaN
15,0.0599638720161326,NaN,0.507790289412744,0.370097761318215
20,NaN,18.6166674274003,0.676064469226967,NaN
25,NaN,NaN,0.941778656223813,0.71399548462876
30,NaN,15.80798724938,NaN,NaN
35,0.0229530438435637,NaN,0.670548683754647,0.904267968558402
40,NaN,11.6782133131933,NaN,NaN
45,NaN,NaN,0.204755729623806,0.373943900975363
50,0.00366663790531121,NaN,NaN,NaN
55,NaN,9.00646595348084,0.0566635123427783,0.0856948399866713
65,NaN,NaN,0.00855890342661627,NaN
70,0.00136068796349509,5.63102005671122,NaN,0.00705207070992048
80,NaN,NaN,0.000966747010319963,NaN
90,NaN,8.16406027818565,NaN,0.000143110147885751
95,0.00112308721103526,NaN,NaN,NaN
100,0.00141630528385939,5.90978264595053,NaN,2.20395568622832e-05
150,0.000957417852979736,7.01777986848353,NaN,6.84788525089462e-10
200,0.000836853903969047,NaN,NaN,NaN
250,0.000930661576201139,NaN,NaN,NaN
