t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.246054612234388,0.000152998667910973,0.00154387800331342,0.00244524769775362,0.000143332534156879,0.0352387379594248
6,NaN,NaN,NaN,0.000598916778047604,NaN,NaN
6.5,NaN,NaN,NaN,NaN,0.000113351318908201,0.051842917086122
10,NaN,NaN,NaN,0.000240788399519819,NaN,NaN
15,NaN,0.0272906208100153,NaN,NaN,6.02994695825529e-05,0.0363345909642568
20,0.167413412103123,NaN,0.146592350392031,2.72849720001691e-05,6.34128964447054e-05,0.0317733167204673
25,NaN,NaN,NaN,3.83544035008398e-06,NaN,NaN
30,NaN,NaN,NaN,NaN,4.59962761650583e-05,0.0120325572229715
35,NaN,0.0117101760654742,NaN,5.83209483655393e-07,1.41121644107049e-05,0.00844227033383117
40,NaN,NaN,0.109339627691597,NaN,NaN,NaN
45,0.114510602304226,NaN,NaN,6.16899599008297e-08,NaN,NaN
50,NaN,0.0139932655850923,NaN,NaN,2.41157567759086e-06,0.00201486456588058
60,NaN,NaN,NaN,NaN,5.66872775053208e-07,0.000467186662684415
65,0.0771163558279959,NaN,0.113783740264723,NaN,NaN,NaN
70,NaN,0.0145576595134105,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,1.28909185946329e-07,0.000162274196291709
90,0.0539721205790527,0.0101391325524609,0.0917471192962706,NaN,1.27261616542432e-07,6.90873070543681e-05
100,0.0623048337588564,0.0100549016856716,0.159786723742743,NaN,1.16844586086111e-07,9.58957170034633e-05
150,0.0441912321730746,0.0112527027365859,0.131863434649881,NaN,NaN,NaN
200,0.0297272106731837,0.00542926830876008,0.0548488161511344,NaN,NaN,NaN
250,0.0334001394542851,0.00563304317525821,0.0464579499073292,NaN,NaN,NaN
300,0.0216092139329044,0.00348561900905547,0.0238975469557823,NaN,NaN,NaN
350,0.0188772048570606,NaN,0.0195572508668263,NaN,NaN,NaN
450,0.00683736585573507,NaN,0.00891900599297839,NaN,NaN,NaN
