t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.453715040824001,0.000110815892219171,0.000735982945338418,0.000225377338733908,0.164957562706794
8,NaN,NaN,NaN,NaN,0.170118513986384
10,NaN,0.0113146268450117,0.0390876657056254,0.000831463021923134,NaN
15,NaN,NaN,NaN,NaN,0.989695295286039
20,0.171216984679041,NaN,NaN,NaN,NaN
25,NaN,5.93628226723009e-05,0.00536138401521271,0.254626348490459,35.4967486262956
35,NaN,6.32530597921529e-08,6.837452263687e-06,NaN,112.636866479695
40,NaN,NaN,NaN,0.25116187440261,NaN
45,0.00130167685283338,NaN,NaN,NaN,118.757444744353
50,NaN,7.9603625165467e-08,8.41776098789827e-06,NaN,NaN
55,NaN,NaN,NaN,0.150380313723964,62.4419109234284
65,NaN,NaN,1.08403060805741e-05,NaN,NaN
70,0.00719775578940875,2.19829380227329e-06,NaN,0.0178376878440977,12.3084066137891
85,NaN,NaN,3.85065680326983e-05,NaN,0.947639281820001
90,NaN,1.16480216113868e-05,NaN,0.000588026341921439,NaN
95,0.0330178167560634,NaN,NaN,NaN,NaN
100,0.0283804533926236,3.29071819585226e-05,5.81889143166209e-05,0.000297748860808135,0.212707115198149
150,0.102648177510531,5.25474911320518e-05,0.000229502496763887,9.85844251364912e-05,NaN
200,0.13928983087927,NaN,NaN,NaN,NaN
250,0.224585999022996,NaN,NaN,NaN,NaN
300,0.218309727890556,NaN,NaN,NaN,NaN
350,0.278405374173802,NaN,NaN,NaN,NaN
450,0.298239346960401,NaN,NaN,NaN,NaN
