t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,nSTAT3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.421189585766036,0.000969423338598693,55.9907575544961,0.117897762071959,0.00180667749887863,0.943563206348317
8,NaN,NaN,84.609231013176,NaN,NaN,2.49614956298764
9,NaN,NaN,NaN,20.362742117497,NaN,NaN
10,0.0361123843124643,0.267631586517528,NaN,NaN,NaN,NaN
15,NaN,NaN,69.8886871183252,NaN,45.3509006085119,86.1792614141645
20,NaN,NaN,NaN,82.5067456416326,NaN,NaN
25,0.000196314541929472,0.0001189342786691,38.9260112839181,NaN,NaN,652.555856839571
30,NaN,NaN,NaN,62.5058582893399,81.8217639369226,NaN
35,0.000140265240030493,NaN,42.432515453132,NaN,NaN,1154.42382918626
40,NaN,0.000128599288153197,NaN,12.2469361911253,NaN,NaN
45,NaN,NaN,35.8132483428602,NaN,19.7104194963784,833.62494040089
50,0.000270563188480144,NaN,NaN,3.92417224074643,NaN,NaN
55,NaN,8.70604276303832e-05,62.4670892340739,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,87.023267130976
65,0.00105896647705517,NaN,NaN,0.220076360508728,0.77942122813066,NaN
70,NaN,NaN,39.8459296613579,NaN,NaN,NaN
75,NaN,0.00149704858439714,NaN,NaN,NaN,16.4154344926443
80,NaN,NaN,NaN,0.107038524177265,NaN,NaN
85,0.00905508660231375,NaN,46.1992113980744,NaN,0.018870764102007,NaN
95,NaN,0.0154019479177667,NaN,NaN,NaN,1.41272426768281
100,0.00819427914456804,0.0270530685984517,32.542080899033,0.725469976510496,0.187412175426259,1.95027359038515
150,0.00352018261522078,0.00363977251527726,47.070133192422,0.0912600006159595,0.135865506859093,NaN
200,NaN,NaN,NaN,NaN,2.29828409550264,NaN
250,NaN,NaN,NaN,NaN,0.167574081039119,NaN
350,NaN,NaN,NaN,NaN,3.87331493365004,NaN
