t,CERTERa_Obs,CERTTGNa_Obs
0,130933710.521968,233660297.155168
3,NaN,511562742.193631
3.5,169961116.649505,NaN
6,NaN,361296879.310897
7,350755255.733835,NaN
9.5,NaN,489692472.599777
10,172546942.224176,NaN
15,198258694.820382,889525173.374115
20,250993130.402391,898291558.082022
25,246627903.237677,1296262732.63862
30,317080459.774597,1274587850.65663
35,244885363.477815,NaN
40,NaN,1434563489.90193
45,257273879.651218,1585801334.7221
55,362461018.229675,2124259432.99507
65,222501945.511855,1916000339.29488
