t,PKDDAGa_Obs,CERTERa_Obs,CERT_Obs
0,71.7386796512256,73034787.6409511,43947.1355960914
1.5,123.149626350752,NaN,NaN
2.5,NaN,11404882.4560265,NaN
3,106.416574358543,NaN,NaN
3.5,NaN,NaN,152777.781279674
5,157.273536822721,NaN,NaN
5.5,NaN,5318357.51044733,NaN
7,54.0541911012057,NaN,121871.801126196
8,NaN,15274572.6972693,NaN
9,55.6446619306036,NaN,NaN
10,88.1691920986126,7307369.54103069,239372.687693857
15,50.1206913680415,5126354.22888296,271415.625682032
20,70.9338405931823,8792705.13883836,319388.69080926
25,1894.09785154512,12986831.3588503,10725348.1071198
30,NaN,14648488.1141275,6427469.10521839
35,NaN,10660862.3067592,NaN
40,NaN,NaN,3677981.39667785
45,NaN,21479823.054185,6118130.19643876
50,NaN,18276466.047764,NaN
60,NaN,9610007.55205598,NaN
70,NaN,18236352.3944671,NaN
