t,PKD_Obs,PKDDAGa_Obs,Compound_1_Obs
0,169261.603629185,35.0993446809782,5622410.15715564
1.5,NaN,45.3416083899078,NaN
2,171805.827778727,NaN,NaN
3.5,NaN,41.9415149578349,27889389.8009822
4.5,169613.300066241,NaN,NaN
5,NaN,37.57887742288,NaN
6.5,170624.66121982,NaN,NaN
7,NaN,NaN,33414252.5856854
7.5,NaN,39.8741807636748,NaN
9.5,171130.454933543,40.9532918695053,NaN
10,169470.202107773,33.6937385368386,35511185.4991193
15,172766.979876788,40.2372123598822,38814892.5863749
20,177181.102188975,36.3735696228861,38952254.3368438
25,143373.837067227,687.654619033397,47793474.0884854
30,NaN,NaN,57249973.4580326
35,NaN,NaN,62644524.9129454
40,NaN,NaN,68224165.6976428
50,NaN,NaN,76740924.3247324
60,NaN,NaN,79353101.643182
70,NaN,NaN,90402009.6114991
