t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.690275316153551,0.00650866777365239,0.0228071219668755,0.00640178354956171,0.0316393483677827
3,NaN,NaN,NaN,0.00514913508853647,0.0411483954220349
3.5,0.602090913304502,0.004060496026832,0.0234105509284531,NaN,NaN
6.5,NaN,NaN,NaN,0.00512420261371602,0.0567748504616612
7,0.745329079195537,0.00441939368502843,0.0263231650015989,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.0505676150898893
10,1.00076529713861,0.00222574124493863,0.0254520299817152,0.00510182787646263,NaN
15,0.77500912456536,0.00280026835246703,0.0237311967688801,0.0037901905319022,0.0645135416433352
20,0.747241141889561,0.00300027610611037,0.0197452264977559,0.00424708646726883,0.0497122194263152
25,0.92782788803609,0.00349825514803465,0.0267947785702008,0.00509466314226999,NaN
30,0.658132323706452,0.00534864021522441,0.0315067073793507,0.00629753923236384,0.0715092190446356
35,NaN,0.00391730606947752,NaN,0.00600347633728886,0.0572326953910715
40,0.778652224509468,NaN,0.0330001548699531,0.00351306540426949,0.0561378472706278
45,NaN,0.00433084627534339,NaN,NaN,NaN
50,0.793955496429427,0.00470918574150913,0.0320960027840506,0.00467626260357585,0.0625644922728968
60,0.847831408829416,0.00325724101195519,0.0364272094889547,0.0042627548968784,0.0624669948252246
