parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
CISEqc	CISEqc	log10	0.001	10000	645.654229034656	1	parameterScaleUniform	
CISEqcOE	CISEqcOE	log10	0.001	1000	0.314774831410132	1	parameterScaleUniform	
CISInh	CISInh	log10	0.001	1000000000000	630957344.480194	1	parameterScaleUniform	
CISRNADelay	CISRNADelay	log10	0.001	1000	0.141253754462275	1	parameterScaleUniform	
CISRNAEqc	CISRNAEqc	log10	0.001	1000	1	0	parameterScaleUniform	
CISRNATurn	CISRNATurn	log10	0.001	1000	616.595001861482	1	parameterScaleUniform	
CISTurn	CISTurn	log10	0.001	1000	0.00457088189614875	1	parameterScaleUniform	
EpoRActJAK2	EpoRActJAK2	log10	0.001	10000	0.476430986805416	1	parameterScaleUniform	
EpoRCISInh	EpoRCISInh	log10	0.001	1000000	758577.575029184	1	parameterScaleUniform	
EpoRCISRemove	EpoRCISRemove	log10	0.001	1000	3.10455958812836	1	parameterScaleUniform	
JAK2ActEpo	JAK2ActEpo	log10	0.001	1000000000	707945.784384137	1	parameterScaleUniform	
JAK2EpoRDeaSHP1	JAK2EpoRDeaSHP1	log10	0.001	10000	213.796208950223	1	parameterScaleUniform	
SHP1ActEpoR	SHP1ActEpoR	log10	0.000199526231496888	1000	0.000851138038202377	1	parameterScaleUniform	
SHP1Dea	SHP1Dea	log10	0.001	1000	0.00776247116628692	1	parameterScaleUniform	
SHP1ProOE	SHP1ProOE	log10	0.001	1000	2.25423921215243	1	parameterScaleUniform	
SOCS3Eqc	SOCS3Eqc	log10	0.001	1000	117.489755493953	1	parameterScaleUniform	
SOCS3EqcOE	SOCS3EqcOE	log10	0.001	1000	1.25429589230232	1	parameterScaleUniform	
SOCS3Inh	SOCS3Inh	log10	0.001	1000	6.83911647281429	1	parameterScaleUniform	
SOCS3RNADelay	SOCS3RNADelay	log10	0.001	1000	1.22913617306017	1	parameterScaleUniform	
SOCS3RNAEqc	SOCS3RNAEqc	log10	0.001	1000	1	0	parameterScaleUniform	
SOCS3RNATurn	SOCS3RNATurn	log10	0.001	1000	0.00676082975391982	1	parameterScaleUniform	
SOCS3Turn	SOCS3Turn	log10	0.001	10000	7244.3596007499	1	parameterScaleUniform	
STAT5ActEpoR	STAT5ActEpoR	log10	0.001	1000	43.6515832240166	1	parameterScaleUniform	
STAT5ActJAK2	STAT5ActJAK2	log10	0.001	1000	0.0501187233627272	1	parameterScaleUniform	
STAT5Exp	STAT5Exp	log10	0.001	1000	0.0831763771102671	1	parameterScaleUniform	
STAT5Imp	STAT5Imp	log10	0.001	1000	0.0223872113856834	1	parameterScaleUniform	
init_EpoRJAK2	init_EpoRJAK2	log10	0.001	1000	4.76430986805416	1	parameterScaleUniform	
init_SHP1	init_SHP1	log10	0.001	1000	15.4881661891248	1	parameterScaleUniform	
init_STAT5	init_STAT5	log10	0.001	1000	66.0693448007596	1	parameterScaleUniform	
offset1_CISRNA_Obs	offset1_CISRNA_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset1_CISnRNA4_Obs	offset1_CISnRNA4_Obs	log10	0.01	100	1	1	parameterScaleUniform	
offset1_SOCS3nRNA1_Obs	offset1_SOCS3nRNA1_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset1_SOCS3nRNA4_Obs	offset1_SOCS3nRNA4_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset1_SOCS3nRNA5_Obs	offset1_SOCS3nRNA5_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset1_p12EpoRpJAK2_Obs	offset1_p12EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset1_p1EpoRpJAK2_Obs	offset1_p1EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset2_CISRNA_Obs	offset2_CISRNA_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset2_SOCS3nRNA4_Obs	offset2_SOCS3nRNA4_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset2_SOCS3nRNA5_Obs	offset2_SOCS3nRNA5_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset2_p12EpoRpJAK2_Obs	offset2_p12EpoRpJAK2_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset2_p1EpoRpJAK2_Obs	offset2_p1EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset3_CISRNA_Obs	offset3_CISRNA_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset3_SOCS3nRNA4_Obs	offset3_SOCS3nRNA4_Obs	log10	1e-09	1e-05	1e-07	1	parameterScaleUniform	
offset3_p12EpoRpJAK2_Obs	offset3_p12EpoRpJAK2_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset3_p1EpoRpJAK2_Obs	offset3_p1EpoRpJAK2_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset4_p12EpoRpJAK2_Obs	offset4_p12EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset4_p1EpoRpJAK2_Obs	offset4_p1EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset5_p12EpoRpJAK2_Obs	offset5_p12EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset5_p1EpoRpJAK2_Obs	offset5_p1EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset6_p12EpoRpJAK2_Obs	offset6_p12EpoRpJAK2_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset6_p1EpoRpJAK2_Obs	offset6_p1EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset7_p12EpoRpJAK2_Obs	offset7_p12EpoRpJAK2_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset8_p12EpoRpJAK2_Obs	offset8_p12EpoRpJAK2_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
scale1_CISRNA_Obs	scale1_CISRNA_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_CISnRNA1_Obs	scale1_CISnRNA1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_CISnRNA4_Obs	scale1_CISnRNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_SOCS3nRNA1_Obs	scale1_SOCS3nRNA1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_SOCS3nRNA4_Obs	scale1_SOCS3nRNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_SOCS3nRNA5_Obs	scale1_SOCS3nRNA5_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_p12EpoRpJAK2_Obs	scale1_p12EpoRpJAK2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_p1EpoRpJAK2_Obs	scale1_p1EpoRpJAK2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_CISRNA_Obs	scale2_CISRNA_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_CISnRNA1_Obs	scale2_CISnRNA1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_SOCS3nRNA4_Obs	scale2_SOCS3nRNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_SOCS3nRNA5_Obs	scale2_SOCS3nRNA5_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_p12EpoRpJAK2_Obs	scale2_p12EpoRpJAK2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_p1EpoRpJAK2_Obs	scale2_p1EpoRpJAK2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_CISRNA_Obs	scale3_CISRNA_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
