observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	-0.00248829958127897	0			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.404960792521748	15			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	25			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.117868961248487	30			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	35			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.0644064862694695	45			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	50			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	55			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	60			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.0388795676363659	65			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	75			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.038656104737389	85			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	90			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.0276017703527212	100			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.028972450156106	150			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.0344528952940359	200			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	0.0364566744802578	250			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	300			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	350			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	400			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	450			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	500			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	550			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	600			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	700			normal
p12EpoRpJAK2_Obs_1	D01_Bachmann_RS29_TC001	NaN	850			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	3.20445651758962	0			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	15			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	25			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	84.5856539300084	30			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	35			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	45			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	50			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	62.4187037581655	55			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	60			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	65			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	75			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	85			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	41.9209405967449	90			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	42.0094902308046	100			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	26.4827060372329	150			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	27.6385080412711	200			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	26.2826428344339	250			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	27.8197061928136	300			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	25.7420352606621	350			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	400			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	24.4552422772403	450			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	500			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	30.0422330819208	550			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	600			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	700			normal
pSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	850			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	0.202919035926281	0			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	15			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	25			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	25.3750402406349	30			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	35			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	45			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	50			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	55			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	18.7891456142878	60			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	65			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	75			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	85			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	14.431030133596	90			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	12.9122860890965	100			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	8.17146359655046	150			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	7.37643983589895	200			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	7.51170755963486	250			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	7.20021037273211	300			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	6.89068600784573	350			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	400			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	7.71718144291072	450			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	500			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	8.10917604995433	550			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	600			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	700			normal
npSTAT5_Obs_1	D01_Bachmann_RS29_TC001	NaN	850			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	-24.1532670307692	0			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	15			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	427.878284471757	25			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	30			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	35			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	45			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	1040.54202444329	50			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	55			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	60			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	65			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	1013.1762968497	75			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	85			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	90			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	868.604854138005	100			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	516.99854292781	150			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	372.316793084206	200			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	330.347379823944	250			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	300			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	350			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	400			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	450			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	500			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	550			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	600			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	700			normal
CISnRNA2_Obs	D01_Bachmann_RS29_TC001	NaN	850			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	-12.0743521487747	0			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	15			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	144.653119622713	25			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	30			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	35			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	45			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	898.192494037846	50			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	55			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	60			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	65			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	1073.67699731996	75			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	85			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	90			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	894.379691667232	100			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	581.989169888527	150			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	360.98682303818	200			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	350.225931105542	250			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	300			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	322.271610389828	350			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	364.422495386378	400			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	450			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	500			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	550			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	600			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	700			normal
CISnRNA3_Obs_1	D01_Bachmann_RS29_TC001	NaN	850			normal
CIS_Obs	D01_Bachmann_RS29_TC001	0.295427749471493	0			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	15			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	25			normal
CIS_Obs	D01_Bachmann_RS29_TC001	1.01296036884853	30			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	35			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	45			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	50			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	55			normal
CIS_Obs	D01_Bachmann_RS29_TC001	6.56124779529798	60			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	65			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	75			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	85			normal
CIS_Obs	D01_Bachmann_RS29_TC001	22.8717448094887	90			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	100			normal
CIS_Obs	D01_Bachmann_RS29_TC001	40.0186980360603	150			normal
CIS_Obs	D01_Bachmann_RS29_TC001	38.280694881716	200			normal
CIS_Obs	D01_Bachmann_RS29_TC001	30.4844512342705	250			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	300			normal
CIS_Obs	D01_Bachmann_RS29_TC001	25.9986478521994	350			normal
CIS_Obs	D01_Bachmann_RS29_TC001	25.4136834930815	400			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	450			normal
CIS_Obs	D01_Bachmann_RS29_TC001	26.7979172409759	500			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	550			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	600			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	700			normal
CIS_Obs	D01_Bachmann_RS29_TC001	NaN	850			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	8.22391665298596e-06	0			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	15			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	25			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	30			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.00143263115734048	35			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	45			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	50			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	55			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	60			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	65			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000941342234318223	75			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	85			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	90			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000754414656065315	100			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000524165827697017	150			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000397581177467658	200			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000394882691131022	250			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	300			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000390235243709343	350			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	400			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000392565626604072	450			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	0.000467055274568185	500			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	550			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	600			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	700			normal
SOCS3nRNA1_Obs	D01_Bachmann_RS29_TC001	NaN	850			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	-1.11717080880431e-05	0			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	15			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	25			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	30			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	35			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.00126364323305399	45			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	50			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	55			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	60			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	65			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	75			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	85			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.000781130109110033	90			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	100			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.00045651275407201	150			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.0004070577866064	200			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.000373994199857196	250			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.000387426231372135	300			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	350			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.000434268312713944	400			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	450			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.000404759684128586	500			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	550			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	0.000402408831943075	600			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	700			normal
SOCS3nRNA4_Obs_1	D01_Bachmann_RS29_TC001	NaN	850			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	0.000554113656547624	0			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	15			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	25			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	30			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	35			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	45			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	50			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	0.0385988660903842	55			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	60			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	65			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	75			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	85			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	90			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	0.0565226022280755	100			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	0.054668508861042	150			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	200			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	0.0447538558755814	250			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	0.0391138232494313	300			normal
SOCS3RNA_Obs_1	D01_Bachmann_RS29_TC001	NaN	350			normal
