observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
EpoR_Obs	D1_Becker_RS39_TC001	737.401779842149	0			normal
EpoR_Obs	D1_Becker_RS39_TC001	282.237817377193	25			normal
EpoR_Obs	D1_Becker_RS39_TC001	NaN	30			normal
EpoR_Obs	D1_Becker_RS39_TC001	219.893582029472	50			normal
EpoR_Obs	D1_Becker_RS39_TC001	NaN	65			normal
EpoR_Obs	D1_Becker_RS39_TC001	302.888928978966	75			normal
EpoR_Obs	D1_Becker_RS39_TC001	654.252830160575	100			normal
EpoR_Obs	D1_Becker_RS39_TC001	598.109766849573	150			normal
EpoR_Obs	D1_Becker_RS39_TC001	502.784612867281	200			normal
EpoR_Obs	D1_Becker_RS39_TC001	336.861714774351	250			normal
EpoR_Obs	D1_Becker_RS39_TC001	800.396058546697	300			normal
EpoR_Obs	D1_Becker_RS39_TC001	860.416891884017	350			normal
EpoR_Obs	D1_Becker_RS39_TC001	298.05192287016	450			normal
EpoR_Obs	D1_Becker_RS39_TC001	997.22290115823	500			normal
EpoR_Obs	D1_Becker_RS39_TC001	NaN	550			normal
EpoR_Obs	D1_Becker_RS39_TC001	NaN	650			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	66.3700159020192	0			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	NaN	25			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	5.28134962188966	30			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	NaN	50			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	51.4100156086842	65			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	NaN	75			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	23.0628467378451	100			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	138.125587848174	150			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	106.891631430978	200			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	160.625694930926	250			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	247.745880946994	300			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	126.868747249373	350			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	159.60852999591	450			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	NaN	500			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	188.56338040311	550			normal
dEpo_i_Obs	D1_Becker_RS39_TC001	186.673928169739	650			normal
