observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
STAT5A_Obs	D1_Boehm_RS21_TC001	137.465164815142	0			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	27.5496315537786	10			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	15			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	20			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	34.3432920528658	25			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	30			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	43.2391999822607	35			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	40			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	45			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	32.3215196441924	50			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	55			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	60			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	43.9139672472566	65			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	70			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	57.3800004328217	80			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	85			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	95			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	58.0082784911729	100			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	74.6330276567401	150			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	89.5509522174514	200			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	101.731079700261	250			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	105.425965341094	300			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	350			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	400			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	500			normal
STAT5A_Obs	D1_Boehm_RS21_TC001	NaN	650			normal
pApA_Obs	D1_Boehm_RS21_TC001	-2.66661360424251e-07	0			normal
pApA_Obs	D1_Boehm_RS21_TC001	1.67525481850033e-05	10			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	15			normal
pApA_Obs	D1_Boehm_RS21_TC001	7.55261487281313e-06	20			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	25			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	30			normal
pApA_Obs	D1_Boehm_RS21_TC001	4.08248452198274e-06	35			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	40			normal
pApA_Obs	D1_Boehm_RS21_TC001	3.73357083973322e-06	45			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	50			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	55			normal
pApA_Obs	D1_Boehm_RS21_TC001	2.22126829839735e-06	60			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	65			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	70			normal
pApA_Obs	D1_Boehm_RS21_TC001	1.56138977507388e-06	80			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	85			normal
pApA_Obs	D1_Boehm_RS21_TC001	1.32096656706223e-06	95			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	100			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	150			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	200			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	250			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	300			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	350			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	400			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	500			normal
pApA_Obs	D1_Boehm_RS21_TC001	NaN	650			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	-5.65026666481936	0			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	10			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	149.89260420354	15			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	20			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	128.443325617188	25			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	30			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	35			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	131.279615359282	40			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	45			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	50			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	122.892121607548	55			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	60			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	65			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	105.237905088974	70			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	80			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	95.5762811133827	85			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	95			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	82.0464306050999	100			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	61.3026586212021	150			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	26.5903607313154	200			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	20.5950541203704	250			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	10.9303790041515	300			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	350			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	400			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	500			normal
nucpApA_Obs	D1_Boehm_RS21_TC001	NaN	650			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	8.8783185677696	0			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	10			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	15			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	20			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	25			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	11.0079565955345	30			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	35			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	40			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	45			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	50			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	55			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	60			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	40.5315733046726	65			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	70			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	80			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	85			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	95			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	65.7284642956441	100			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	76.8484508559034	150			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	86.3516094757815	200			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	NaN	250			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	99.7992255819832	300			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	104.564860557365	350			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	99.5296610349775	400			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	98.2646083806819	500			normal
nucpApB_Obs	D1_Boehm_RS21_TC001	97.9396971624702	650			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	0.479426940392802	0			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	10			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	15			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	36.8899982803446	20			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	25			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	30			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	35			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	33.3455813688267	40			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	45			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	50			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	55			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	28.7918282980293	60			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	65			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	70			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	23.4369662965477	80			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	85			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	95			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	18.2088172491439	100			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	14.4390991821921	150			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	5.98338641732791	200			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	2.76827926418952	250			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	3.4637072052075	300			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	1.09442630892617	350			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	400			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	500			normal
nucpBpB_Obs	D1_Boehm_RS21_TC001	NaN	650			normal
