parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
K2	K2	log10	0.001	100000	0.0707945784384138	1	parameterScaleUniform	
K_par	K_par	log10	0.001	100000	16.5958690743756	1	parameterScaleUniform	
Ka	Ka	log10	0.001	100000	0.353997341083435	1	parameterScaleUniform	
Kd	Kd	log10	0.001	100000	0.258821291515309	1	parameterScaleUniform	
Kf	Kf	log10	0.001	100000	0.794511156618357	1	parameterScaleUniform	
Kp	Kp	log10	0.001	100000	1.81970085860998	1	parameterScaleUniform	
Ky	Ky	log10	0.001	100000	0.100925288607668	1	parameterScaleUniform	
Kz	Kz	log10	0.001	100000	0.195433945577539	1	parameterScaleUniform	
Vd	Vd	log10	0.001	100000	151.356124843621	1	parameterScaleUniform	
Vm2	Vm2	log10	0.001	100000	8.1470428402084	1	parameterScaleUniform	
Vm3	Vm3	log10	0.001	100000	13.4896288259165	1	parameterScaleUniform	
Vp	Vp	log10	0.001	100000	4.67735141287198	1	parameterScaleUniform	
beta_par	beta_par	log10	0.001	100000	1.05462970589965	1	parameterScaleUniform	
epsilon_par	epsilon_par	log10	0.001	100000	0.138675582887189	1	parameterScaleUniform	
init_A_state	init_A_state	lin	0	1	0.81	1	parameterScaleUniform	
init_Y_state	init_Y_state	lin	0	1.7	1.63	1	parameterScaleUniform	
init_Z_state	init_Z_state	lin	0	1	0.0625	1	parameterScaleUniform	
n_par	n_par	log10	0.001	100000	4.60256573581356	1	parameterScaleUniform	
scale1_Compound_1_Obs	scale1_Compound_1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
sd1_Compound_1_Obs	sd1_Compound_1_Obs	log10	0.001	100	0.371980351095748	1	parameterScaleUniform	
sd1_Z_state_Obs	sd1_Z_state_Obs	log10	0.0001	10	0.0292819503557427	1	parameterScaleUniform	
v0	v0	log10	0.001	100000	2.40990542868659	1	parameterScaleUniform	
v1	v1	log10	0.001	100000	1.09144033644876	1	parameterScaleUniform	
