parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
k1a	k1a	log10	1e-06	501187.233627272	0.165576996346953	1	parameterScaleUniform	
k1aBasic	k1aBasic	log10	1e-06	501187.233627272	0.000691830970918936	1	parameterScaleUniform	
k1b	k1b	log10	1e-06	501187.233627272	0.133967668742593	1	parameterScaleUniform	
k1c	k1c	log10	1e-06	501187.233627272	0.0549540873857625	1	parameterScaleUniform	
k1d	k1d	log10	1e-06	12589254.1179417	870963.589956081	1	parameterScaleUniform	
k1e	k1e	log10	5.01187233627272e-08	501187.233627272	7.41310241300918e-07	1	parameterScaleUniform	
k1f	k1f	log10	1e-06	7943282.34724282	549540.873857625	1	parameterScaleUniform	
k1g	k1g	log10	1e-06	501187.233627272	954.992586021436	1	parameterScaleUniform	
k1r	k1r	log10	1e-06	501187.233627272	0.0512861383991365	1	parameterScaleUniform	
k21	k21	log10	1e-06	501187.233627272	1.81551566277314	1	parameterScaleUniform	
k22	k22	log10	1e-06	501187.233627272	1318.25673855641	1	parameterScaleUniform	
k3	k3	log10	1e-06	501187.233627272	5.75439937337157e-05	1	parameterScaleUniform	
km2	km2	log10	1e-06	501187.233627272	0.732824533138904	1	parameterScaleUniform	
km3	km3	log10	1e-06	501187.233627272	0.570164272280748	1	parameterScaleUniform	
offset1_IRSiP_Obs	offset1_IRSiP_Obs	log10	0.0001	1	0.01	1	parameterScaleUniform	
offset2_IRSiP_Obs	offset2_IRSiP_Obs	log10	0.0001	1	0.01	1	parameterScaleUniform	
offset3_IRSiP_Obs	offset3_IRSiP_Obs	log10	0.0001	1	0.01	1	parameterScaleUniform	
scale1_IRSiP_Obs	scale1_IRSiP_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_IRSiP_Obs	scale2_IRSiP_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_IRSiP_Obs	scale3_IRSiP_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
sd1_IRSiP_Obs	sd1_IRSiP_Obs	log10	0.0001	10	0.0156027086869306	1	parameterScaleUniform	
sd2_IRSiP_Obs	sd2_IRSiP_Obs	log10	0.0001	10	0.0148013047302082	1	parameterScaleUniform	
sd3_IRSiP_Obs	sd3_IRSiP_Obs	log10	0.0001	10	0.015153048036987	1	parameterScaleUniform	
