observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	17.447240023709	0			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	0.3			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	0.65			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	0.95			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	1			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	1.5			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	2			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.0426087755915	2.5			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	3			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	3.5			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	4			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	15.4073865028691	5			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	5.5			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	7			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	18.2701827681529	7.5			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	8			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	9			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.7994531893944	10			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	18.2441081112252	15			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	13.1878323691211	20			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	17.8955412323768	25			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	20.0210063214275	30			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.7000940468936	35			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.3763693120948	40			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	45			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	22.3111732879429	50			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	55			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	60			normal
Compound_1_Obs_1	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	70			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	28.4493910836352	0			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	0.3			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	0.65			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	0.95			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	1			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	1.5			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	8.49174346975363	2			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	2.5			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	3			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	11.4262798589447	3.5			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	4			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	5			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	9.37009356110406	5.5			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	7			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	7.5			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.0656766452551	8			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	9			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	13.4870835973397	10			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.7694279618441	15			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	10.4318138540669	20			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	7.76892987737731	25			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	30			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	35			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	40			normal
Compound_2_Obs	D3_Brannmark_RS42_DR001	D1_Brannmark_RS42_TC001	NaN	45			normal
