observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
b10_Obs_1	D1_Bruno_RS48_TC001	3.74693989722469	0			normal
b10_Obs_1	D1_Bruno_RS48_TC001	2.71779208065808	25			normal
b10_Obs_1	D1_Bruno_RS48_TC001	2.2263873204308	50			normal
b10_Obs_1	D1_Bruno_RS48_TC001	1.42123205415603	80			normal
b10_Obs_1	D1_Bruno_RS48_TC001	1.0837037230476	100			normal
b10_Obs_1	D1_Bruno_RS48_TC001	0.59280909840968	150			normal
b10_Obs_1	D1_Bruno_RS48_TC001	0.318118950997456	200			normal
b10_Obs_1	D1_Bruno_RS48_TC001	0.372218788946927	250			normal
b10_Obs_1	D1_Bruno_RS48_TC001	-0.0605896954170975	300			normal
b10_Obs_1	D1_Bruno_RS48_TC001	-0.110067359052793	350			normal
b10_Obs_1	D1_Bruno_RS48_TC001	-0.124760912699413	450			normal
b10_Obs_2	D2_Bruno_RS48_TC002	-0.183082648494877	0			normal
b10_Obs_2	D2_Bruno_RS48_TC002	1.2760595915273	20			normal
b10_Obs_2	D2_Bruno_RS48_TC002	1.55806594457645	40			normal
b10_Obs_2	D2_Bruno_RS48_TC002	2.03225184504454	65			normal
b10_Obs_2	D2_Bruno_RS48_TC002	2.32520998610449	85			normal
b10_Obs_2	D2_Bruno_RS48_TC002	2.47951317275887	100			normal
b10_Obs_2	D2_Bruno_RS48_TC002	1.5379712873661	150			normal
b10_Obs_2	D2_Bruno_RS48_TC002	1.26371637079273	200			normal
b10_Obs_2	D2_Bruno_RS48_TC002	0.634844491325328	250			normal
b10_Obs_2	D2_Bruno_RS48_TC002	0.967442090096141	300			normal
b10_Obs_2	D2_Bruno_RS48_TC002	0.633421765774313	350			normal
b10_Obs_2	D2_Bruno_RS48_TC002	0.13035684885221	450			normal
b10_Obs_3	D3_Bruno_RS48_TC003	-0.0134348286808059	0			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.10606401966775	20			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.232128189956474	45			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.374474475587869	65			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.60894540478239	90			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.710554276980071	100			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.722621853003177	150			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.782447783840025	200			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.780351377624128	250			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.738711002720178	300			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.57396614700267	350			normal
b10_Obs_3	D3_Bruno_RS48_TC003	0.384010597227089	450			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	0.0313156303044032	0			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	1.2947271867785	20			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	2.07324324762712	40			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	NaN	45			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	2.66876426437318	65			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	NaN	70			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	2.9745736183958	85			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	NaN	95			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	2.88669107843982	100			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	2.84128458515477	150			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	2.27555550826048	200			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	1.81272467536317	250			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	1.36321608198704	300			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	0.639990907172772	350			normal
ohb10_Obs_1	D4_Bruno_RS48_TC004	0.308210828996441	450			normal
ohbio_Obs	D4_Bruno_RS48_TC004	0.126200288722648	0			normal
ohbio_Obs	D4_Bruno_RS48_TC004	0.542594495781554	20			normal
ohbio_Obs	D4_Bruno_RS48_TC004	NaN	40			normal
ohbio_Obs	D4_Bruno_RS48_TC004	1.39826151052778	45			normal
ohbio_Obs	D4_Bruno_RS48_TC004	NaN	65			normal
ohbio_Obs	D4_Bruno_RS48_TC004	2.43205901314713	70			normal
ohbio_Obs	D4_Bruno_RS48_TC004	NaN	85			normal
ohbio_Obs	D4_Bruno_RS48_TC004	2.16552076134547	95			normal
ohbio_Obs	D4_Bruno_RS48_TC004	NaN	100			normal
ohbio_Obs	D4_Bruno_RS48_TC004	3.91726185492705	150			normal
ohbio_Obs	D4_Bruno_RS48_TC004	4.52179947842727	200			normal
ohbio_Obs	D4_Bruno_RS48_TC004	5.00631988055547	250			normal
ohbio_Obs	D4_Bruno_RS48_TC004	6.6367176990158	300			normal
ohbio_Obs	D4_Bruno_RS48_TC004	6.91340769950154	350			normal
ohbio_Obs	D4_Bruno_RS48_TC004	6.34178357762815	450			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	3.14580968985455	0			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	2.57049506741666	25			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	2.31961489233518	50			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	1.66214871436562	80			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	1.50075409023692	100			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	0.689082346254197	150			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	0.551134163015867	200			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	0.768872797863744	250			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	0.216991181135262	300			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	0.23350376743447	350			normal
ohb10_Obs_2	D5_Bruno_RS48_TC005	0.325282087782037	450			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	-0.185391310767215	0			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	0.194102492648153	20			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	0.43776262779668	45			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	0.572196616742192	65			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	0.839077762024349	90			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	0.832871494751503	100			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	1.07858204231126	150			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	1.28219391443794	200			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	1.34987945244094	250			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	1.5036141132671	350			normal
ohb10_Obs_3	D6_Bruno_RS48_TC006	1.70268444146138	400			normal
