observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
X_protein_Obs	D1_Elowitz_RS46_TC001	-135.67420805766	0			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	2769.51904886474	15			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	25			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	1674.39234729849	35			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	50			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	851.08388577539	55			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	60			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	413.997720219264	75			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	80			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	85			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	354.1379747631	95			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	20.6890946664859	100			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	1714.96602211583	150			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	936.212759762515	200			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	337.153473398853	250			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	300			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	722.554898534918	350			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	400			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	450			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	550			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	650			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	800			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	1000			normal
X_protein_Obs	D1_Elowitz_RS46_TC001	NaN	1500			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	1209.57562905651	0			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	15			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	29693.7925117516	25			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	35			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	11985.7693204894	50			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	55			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	60			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	75			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	5700.97059682819	80			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	85			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	95			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	3038.70171395069	100			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	1032.10059324906	150			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	829.897302310731	200			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	1795.64920461171	250			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	1867.459760226	300			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	350			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	845.685140671213	400			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	450			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	550			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	650			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	800			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	1000			normal
Y_protein_Obs	D1_Elowitz_RS46_TC001	NaN	1500			normal
GFP_Obs	D1_Elowitz_RS46_TC001	-5.50212087469422	0			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	15			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	25			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	35			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	50			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	55			normal
GFP_Obs	D1_Elowitz_RS46_TC001	27.9315454703143	60			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	75			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	80			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	85			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	95			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	100			normal
GFP_Obs	D1_Elowitz_RS46_TC001	58.0118717512812	150			normal
GFP_Obs	D1_Elowitz_RS46_TC001	62.1475187761079	200			normal
GFP_Obs	D1_Elowitz_RS46_TC001	62.3527996479797	250			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	300			normal
GFP_Obs	D1_Elowitz_RS46_TC001	67.853921940841	350			normal
GFP_Obs	D1_Elowitz_RS46_TC001	NaN	400			normal
GFP_Obs	D1_Elowitz_RS46_TC001	76.9872715631047	450			normal
GFP_Obs	D1_Elowitz_RS46_TC001	86.3319417527201	550			normal
GFP_Obs	D1_Elowitz_RS46_TC001	84.8002678597908	650			normal
