parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
ERK_total	ERK_total	log10	1e-05	1000	1	0	parameterScaleUniform	
K_1	K_1	log10	1e-06	1000	5.75439937337157e-06	1	parameterScaleUniform	
K_2	K_2	log10	1e-05	1000	1.23680149063224	1	parameterScaleUniform	
K_3	K_3	log10	1e-05	1000	0.542000890401624	1	parameterScaleUniform	
MEK_total	MEK_total	log10	1e-05	1000	1	0	parameterScaleUniform	
RAF_total	RAF_total	log10	1e-05	1000	1	0	parameterScaleUniform	
k10	k10	log10	1e-05	100000	0.0138038426460288	1	parameterScaleUniform	
k11	k11	log10	1e-05	100000	147.910838816821	1	parameterScaleUniform	
k2	k2	log10	1e-05	100000	0.360578643021642	1	parameterScaleUniform	
k3	k3	log10	1e-05	100000	380.189396320561	1	parameterScaleUniform	
k4	k4	log10	1e-05	100000	8.41395141645195	1	parameterScaleUniform	
k5	k5	log10	1e-05	100000	512.861383991365	1	parameterScaleUniform	
k6	k6	log10	1e-05	100000	4.08319386332692	1	parameterScaleUniform	
offset1_ERK_Obs	offset1_ERK_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset1_pERK_Obs	offset1_pERK_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset1_pMEK_Obs	offset1_pMEK_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset1_pRAF_Obs	offset1_pRAF_Obs	log10	1e-09	1e-05	1e-07	1	parameterScaleUniform	
offset2_ERK_Obs	offset2_ERK_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset2_pERK_Obs	offset2_pERK_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset2_pMEK_Obs	offset2_pMEK_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset2_pRAF_Obs	offset2_pRAF_Obs	log10	1e-09	1e-05	1e-07	1	parameterScaleUniform	
offset3_ERK_Obs	offset3_ERK_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset3_pERK_Obs	offset3_pERK_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset3_pMEK_Obs	offset3_pMEK_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset3_pRAF_Obs	offset3_pRAF_Obs	log10	1e-09	1e-05	1e-07	1	parameterScaleUniform	
scale1_ERK_Obs	scale1_ERK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_pERK_Obs	scale1_pERK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_pMEK_Obs	scale1_pMEK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_pRAF_Obs	scale1_pRAF_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_ERK_Obs	scale2_ERK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_pERK_Obs	scale2_pERK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_pMEK_Obs	scale2_pMEK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_pRAF_Obs	scale2_pRAF_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_ERK_Obs	scale3_ERK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_pERK_Obs	scale3_pERK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_pMEK_Obs	scale3_pMEK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_pRAF_Obs	scale3_pRAF_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
sd1_ERK_Obs	sd1_ERK_Obs	log10	0.001	100	0.250530150905901	1	parameterScaleUniform	
sd1_RAF_Obs	sd1_RAF_Obs	log10	0.001	100	0.242381796455463	1	parameterScaleUniform	
sd1_pERK_Obs	sd1_pERK_Obs	log10	0.001	100	0.229466874348695	1	parameterScaleUniform	
sd1_pMEK_Obs	sd1_pMEK_Obs	log10	0.001	100	0.238495396174731	1	parameterScaleUniform	
sd1_pRAF_Obs	sd1_pRAF_Obs	log10	0.001	100	0.243242803365815	1	parameterScaleUniform	
sd2_ERK_Obs	sd2_ERK_Obs	log10	0.001	100	0.241373729037805	1	parameterScaleUniform	
sd2_RAF_Obs	sd2_RAF_Obs	log10	0.001	100	0.256921234428406	1	parameterScaleUniform	
sd2_pERK_Obs	sd2_pERK_Obs	log10	0.001	100	0.227483551557795	1	parameterScaleUniform	
sd2_pMEK_Obs	sd2_pMEK_Obs	log10	0.001	100	0.255893939302776	1	parameterScaleUniform	
sd2_pRAF_Obs	sd2_pRAF_Obs	log10	0.001	100	0.24416870509274	1	parameterScaleUniform	
sd3_ERK_Obs	sd3_ERK_Obs	log10	0.001	100	0.239375666206774	1	parameterScaleUniform	
sd3_RAF_Obs	sd3_RAF_Obs	log10	0.001	100	0.227378815629041	1	parameterScaleUniform	
sd3_pERK_Obs	sd3_pERK_Obs	log10	0.001	100	0.245612236650907	1	parameterScaleUniform	
sd3_pMEK_Obs	sd3_pMEK_Obs	log10	0.001	100	0.229007655173785	1	parameterScaleUniform	
sd3_pRAF_Obs	sd3_pRAF_Obs	log10	0.001	100	0.255076236146086	1	parameterScaleUniform	
tau1	tau1	log10	1e-08	100000000	0.250034536169643	1	parameterScaleUniform	
tau2	tau2	log10	1e-08	100000000	0.0398107170553497	1	parameterScaleUniform	
