observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
EGFR_Obs_1	EGFR_Obs	offset1_EGFR_Obs + EGFR*scale1_EGFR_Obs	log10	sd1_EGFR_Obs	normal
EGFR_Obs_2	EGFR_Obs	offset2_EGFR_Obs + EGFR*scale2_EGFR_Obs	log10	sd2_EGFR_Obs	normal
EGFR_Obs_3	EGFR_Obs	offset3_EGFR_Obs + EGFR*scale3_EGFR_Obs	log10	sd3_EGFR_Obs	normal
EGFR_Obs_4	EGFR_Obs	offset4_EGFR_Obs + EGFR*scale4_EGFR_Obs	log10	sd4_EGFR_Obs	normal
EGFR_Obs_5	EGFR_Obs	offset5_EGFR_Obs + EGFR*scale5_EGFR_Obs	log10	sd5_EGFR_Obs	normal
EGFR_Obs_6	EGFR_Obs	offset6_EGFR_Obs + EGFR*scale6_EGFR_Obs	log10	sd6_EGFR_Obs	normal
EGF_EGFR_Obs_1	EGF_EGFR_Obs	offset1_EGF_EGFR_Obs + EGF_EGFR*scale1_EGF_EGFR_Obs	log10	sd1_EGF_EGFR_Obs	normal
EGF_EGFR_Obs_2	EGF_EGFR_Obs	offset2_EGF_EGFR_Obs + EGF_EGFR*scale2_EGF_EGFR_Obs	log10	sd2_EGF_EGFR_Obs	normal
EGF_EGFR_Obs_3	EGF_EGFR_Obs	offset3_EGF_EGFR_Obs + EGF_EGFR*scale3_EGF_EGFR_Obs	log10	sd3_EGF_EGFR_Obs	normal
EGF_EGFR_Obs_4	EGF_EGFR_Obs	offset4_EGF_EGFR_Obs + EGF_EGFR*scale4_EGF_EGFR_Obs	log10	sd4_EGF_EGFR_Obs	normal
EGF_EGFR_Obs_5	EGF_EGFR_Obs	offset5_EGF_EGFR_Obs + EGF_EGFR*scale5_EGF_EGFR_Obs	log10	sd5_EGF_EGFR_Obs	normal
EGF_EGFR_Obs_6	EGF_EGFR_Obs	offset6_EGF_EGFR_Obs + EGF_EGFR*scale6_EGF_EGFR_Obs	log10	sd6_EGF_EGFR_Obs	normal
S6_Obs_1	S6_Obs	offset1_S6_Obs + S6*scale1_S6_Obs	log10	sd1_S6_Obs	normal
S6_Obs_2	S6_Obs	offset2_S6_Obs + S6*scale2_S6_Obs	log10	sd2_S6_Obs	normal
S6_Obs_3	S6_Obs	offset3_S6_Obs + S6*scale3_S6_Obs	log10	sd3_S6_Obs	normal
S6_Obs_4	S6_Obs	offset4_S6_Obs + S6*scale4_S6_Obs	log10	sd4_S6_Obs	normal
S6_Obs_5	S6_Obs	offset5_S6_Obs + S6*scale5_S6_Obs	log10	sd5_S6_Obs	normal
S6_Obs_6	S6_Obs	offset6_S6_Obs + S6*scale6_S6_Obs	log10	sd6_S6_Obs	normal
pAkt_Obs_1	pAkt_Obs	offset1_pAkt_Obs + pAkt*scale1_pAkt_Obs	log10	sd1_pAkt_Obs	normal
pAkt_Obs_2	pAkt_Obs	offset2_pAkt_Obs + pAkt*scale2_pAkt_Obs	log10	sd2_pAkt_Obs	normal
pAkt_Obs_3	pAkt_Obs	offset3_pAkt_Obs + pAkt*scale3_pAkt_Obs	log10	sd3_pAkt_Obs	normal
pAkt_Obs_4	pAkt_Obs	offset4_pAkt_Obs + pAkt*scale4_pAkt_Obs	log10	sd4_pAkt_Obs	normal
pAkt_Obs_5	pAkt_Obs	offset5_pAkt_Obs + pAkt*scale5_pAkt_Obs	log10	sd5_pAkt_Obs	normal
pAkt_Obs_6	pAkt_Obs	offset6_pAkt_Obs + pAkt*scale6_pAkt_Obs	log10	sd6_pAkt_Obs	normal
pAkt_S6_Obs_1	pAkt_S6_Obs	offset1_pAkt_S6_Obs + pAkt_S6*scale1_pAkt_S6_Obs	log10	sd1_pAkt_S6_Obs	normal
pAkt_S6_Obs_2	pAkt_S6_Obs	offset2_pAkt_S6_Obs + pAkt_S6*scale2_pAkt_S6_Obs	log10	sd2_pAkt_S6_Obs	normal
pAkt_S6_Obs_3	pAkt_S6_Obs	offset3_pAkt_S6_Obs + pAkt_S6*scale3_pAkt_S6_Obs	log10	sd3_pAkt_S6_Obs	normal
pAkt_S6_Obs_4	pAkt_S6_Obs	offset4_pAkt_S6_Obs + pAkt_S6*scale4_pAkt_S6_Obs	log10	sd4_pAkt_S6_Obs	normal
pAkt_S6_Obs_5	pAkt_S6_Obs	offset5_pAkt_S6_Obs + pAkt_S6*scale5_pAkt_S6_Obs	log10	sd5_pAkt_S6_Obs	normal
pAkt_S6_Obs_6	pAkt_S6_Obs	offset6_pAkt_S6_Obs + pAkt_S6*scale6_pAkt_S6_Obs	log10	sd6_pAkt_S6_Obs	normal
pEGFR_Akt_Obs_1	pEGFR_Akt_Obs	offset1_pEGFR_Akt_Obs + pEGFR_Akt*scale1_pEGFR_Akt_Obs	log10	sd1_pEGFR_Akt_Obs	normal
pEGFR_Akt_Obs_2	pEGFR_Akt_Obs	offset2_pEGFR_Akt_Obs + pEGFR_Akt*scale2_pEGFR_Akt_Obs	log10	sd2_pEGFR_Akt_Obs	normal
pEGFR_Akt_Obs_3	pEGFR_Akt_Obs	offset3_pEGFR_Akt_Obs + pEGFR_Akt*scale3_pEGFR_Akt_Obs	log10	sd3_pEGFR_Akt_Obs	normal
pEGFR_Akt_Obs_4	pEGFR_Akt_Obs	offset4_pEGFR_Akt_Obs + pEGFR_Akt*scale4_pEGFR_Akt_Obs	log10	sd4_pEGFR_Akt_Obs	normal
pEGFR_Akt_Obs_5	pEGFR_Akt_Obs	offset5_pEGFR_Akt_Obs + pEGFR_Akt*scale5_pEGFR_Akt_Obs	log10	sd5_pEGFR_Akt_Obs	normal
pEGFR_Akt_Obs_6	pEGFR_Akt_Obs	offset6_pEGFR_Akt_Obs + pEGFR_Akt*scale6_pEGFR_Akt_Obs	log10	sd6_pEGFR_Akt_Obs	normal
pEGFR_Obs_1	pEGFR_Obs	offset1_pEGFR_Obs + pEGFR*scale1_pEGFR_Obs	log10	sd1_pEGFR_Obs	normal
pEGFR_Obs_2	pEGFR_Obs	offset2_pEGFR_Obs + pEGFR*scale2_pEGFR_Obs	log10	sd2_pEGFR_Obs	normal
pEGFR_Obs_3	pEGFR_Obs	offset3_pEGFR_Obs + pEGFR*scale3_pEGFR_Obs	log10	sd3_pEGFR_Obs	normal
pEGFR_Obs_4	pEGFR_Obs	offset4_pEGFR_Obs + pEGFR*scale4_pEGFR_Obs	log10	sd4_pEGFR_Obs	normal
pEGFR_Obs_5	pEGFR_Obs	offset5_pEGFR_Obs + pEGFR*scale5_pEGFR_Obs	log10	sd5_pEGFR_Obs	normal
pEGFR_Obs_6	pEGFR_Obs	offset6_pEGFR_Obs + pEGFR*scale6_pEGFR_Obs	log10	sd6_pEGFR_Obs	normal
pS6_Obs_1	pS6_Obs	offset1_pS6_Obs + pS6*scale1_pS6_Obs	log10	sd1_pS6_Obs	normal
pS6_Obs_2	pS6_Obs	offset2_pS6_Obs + pS6*scale2_pS6_Obs	log10	sd2_pS6_Obs	normal
pS6_Obs_3	pS6_Obs	offset3_pS6_Obs + pS6*scale3_pS6_Obs	log10	sd3_pS6_Obs	normal
pS6_Obs_4	pS6_Obs	offset4_pS6_Obs + pS6*scale4_pS6_Obs	log10	sd4_pS6_Obs	normal
pS6_Obs_5	pS6_Obs	offset5_pS6_Obs + pS6*scale5_pS6_Obs	log10	sd5_pS6_Obs	normal
pS6_Obs_6	pS6_Obs	offset6_pS6_Obs + pS6*scale6_pS6_Obs	log10	sd6_pS6_Obs	normal
