observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
pEGFR_Obs_1	D1_Fujita_RS48_TC001	388.972212277009	0			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	250			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	208981.026704935	300			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	400			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	141080.427526824	550			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	750			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	77305.9900539784	850			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	61670.2114578571	1000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	26690.465868946	1500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	9628.92081670637	2000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	2292.05599636332	2500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	5334.90706959601	3000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	-357.356261955222	3500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	4000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	-1234.91537411546	4500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	121.718565559737	5000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	5500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	6000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	7000			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	7500			normal
pEGFR_Obs_1	D1_Fujita_RS48_TC001	NaN	8500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	2.59137078285001e-06	0			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	250			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	6.9338124901712e-05	300			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	400			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	4.52411543481605e-05	550			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	750			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	2.54971804204214e-05	850			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	1.89633952207843e-05	1000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	1.12822872559961e-05	1500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	5.58592375923767e-06	2000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	1.71794910865242e-06	2500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	4.33871628863771e-07	3000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	-1.0771391012619e-06	3500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	4000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	1.97293845346089e-06	4500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	5000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	-2.91541081075835e-07	5500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	6000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	7000			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	7500			normal
pEGFR_Akt_Obs_1	D1_Fujita_RS48_TC001	NaN	8500			normal
