parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
EGFR_turnover	EGFR_turnover	log10	1e-08	100000000	0.00128824955169313	1	parameterScaleUniform	
init_Akt	init_Akt	log10	1e-08	100000000	0.0467735141287198	1	parameterScaleUniform	
init_EGFR	init_EGFR	log10	1e-08	100000000	25703957.8276886	1	parameterScaleUniform	
init_S6	init_S6	log10	1e-08	100000000	263.026799189538	1	parameterScaleUniform	
offset1_Akt_Obs	offset1_Akt_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset1_pAkt_Obs	offset1_pAkt_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset1_pEGFR_Obs	offset1_pEGFR_Obs	log10	1	10000	100	1	parameterScaleUniform	
offset2_Akt_Obs	offset2_Akt_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset2_pAkt_Obs	offset2_pAkt_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset2_pEGFR_Obs	offset2_pEGFR_Obs	log10	10	100000	1000	1	parameterScaleUniform	
offset3_Akt_Obs	offset3_Akt_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset3_pAkt_Obs	offset3_pAkt_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset3_pEGFR_Obs	offset3_pEGFR_Obs	log10	10	100000	1000	1	parameterScaleUniform	
offset4_Akt_Obs	offset4_Akt_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset4_pAkt_Obs	offset4_pAkt_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset4_pEGFR_Obs	offset4_pEGFR_Obs	log10	100	1000000	10000	1	parameterScaleUniform	
offset5_Akt_Obs	offset5_Akt_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset5_pAkt_Obs	offset5_pAkt_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset5_pEGFR_Obs	offset5_pEGFR_Obs	log10	100	1000000	10000	1	parameterScaleUniform	
offset6_Akt_Obs	offset6_Akt_Obs	log10	1e-06	0.01	0.0001	1	parameterScaleUniform	
offset6_pAkt_Obs	offset6_pAkt_Obs	log10	1e-07	0.001	1e-05	1	parameterScaleUniform	
offset6_pEGFR_Obs	offset6_pEGFR_Obs	log10	100	1000000	10000	1	parameterScaleUniform	
reaction_1_k1	reaction_1_k1	log10	1e-08	100000000	0.00257039578276886	1	parameterScaleUniform	
reaction_1_k2	reaction_1_k2	log10	1e-08	100000000	0.00275422870333817	1	parameterScaleUniform	
reaction_2_k1	reaction_2_k1	log10	1e-08	100000000	0.00190546071796325	1	parameterScaleUniform	
reaction_2_k2	reaction_2_k2	log10	1e-08	100000000	93325.4300796991	1	parameterScaleUniform	
reaction_3_k1	reaction_3_k1	log10	1e-08	100000000	0.22080047330189	1	parameterScaleUniform	
reaction_4_k1	reaction_4_k1	log10	1e-08	100000000	0.0173780082874938	1	parameterScaleUniform	
reaction_5_k1	reaction_5_k1	log10	1e-08	100000000	1.90546071796325e-06	1	parameterScaleUniform	
reaction_5_k2	reaction_5_k2	log10	1e-08	100000000	0.000457088189614875	1	parameterScaleUniform	
reaction_6_k1	reaction_6_k1	log10	1e-08	100000000	4.89778819368447e-06	1	parameterScaleUniform	
reaction_7_k1	reaction_7_k1	log10	1e-08	100000000	0.0190546071796325	1	parameterScaleUniform	
reaction_8_k1	reaction_8_k1	log10	1e-08	100000000	0.000602559586074357	1	parameterScaleUniform	
reaction_9_k1	reaction_9_k1	log10	1e-08	100000000	0.0275422870333817	1	parameterScaleUniform	
scale1_Akt_Obs	scale1_Akt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_pAkt_Obs	scale1_pAkt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_pEGFR_Obs	scale1_pEGFR_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_Akt_Obs	scale2_Akt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_pAkt_Obs	scale2_pAkt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_pEGFR_Obs	scale2_pEGFR_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_Akt_Obs	scale3_Akt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_pAkt_Obs	scale3_pAkt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_pEGFR_Obs	scale3_pEGFR_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale4_Akt_Obs	scale4_Akt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale4_pAkt_Obs	scale4_pAkt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale4_pEGFR_Obs	scale4_pEGFR_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale5_Akt_Obs	scale5_Akt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale5_pAkt_Obs	scale5_pAkt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale5_pEGFR_Obs	scale5_pEGFR_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale6_Akt_Obs	scale6_Akt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale6_pAkt_Obs	scale6_pAkt_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale6_pEGFR_Obs	scale6_pEGFR_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scaleFactor_pAkt	scaleFactor_pAkt	log10	1e-08	100000000	31.6227766016838	1	parameterScaleUniform	
scaleFactor_pEGFR	scaleFactor_pEGFR	log10	1e-08	100000000	3.38844156139203e-08	1	parameterScaleUniform	
scaleFactor_pS6	scaleFactor_pS6	log10	1e-08	100000000	48977.8819368447	1	parameterScaleUniform	
sd1_Akt_Obs	sd1_Akt_Obs	log10	0.001	100	0.15807383872781	1	parameterScaleUniform	
sd1_EGF_EGFR_Obs	sd1_EGF_EGFR_Obs	log10	0.001	100	0.165615126249005	1	parameterScaleUniform	
sd1_pAkt_Obs	sd1_pAkt_Obs	log10	0.001	100	0.153077020323144	1	parameterScaleUniform	
sd1_pEGFR_Obs	sd1_pEGFR_Obs	log10	0.001	100	0.153267474050444	1	parameterScaleUniform	
