observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
ApoER2_Dab1_Obs_1	ApoER2_Dab1_Obs	ApoER2_Dab1*scale1_ApoER2_Dab1_Obs	lin	sd1_ApoER2_Dab1_Obs	normal
ApoER2_Dab1_Obs_2	ApoER2_Dab1_Obs	ApoER2_Dab1*scale2_ApoER2_Dab1_Obs	lin	sd2_ApoER2_Dab1_Obs	normal
ApoER2_Dab1_Obs_3	ApoER2_Dab1_Obs	ApoER2_Dab1*scale3_ApoER2_Dab1_Obs	lin	sd3_ApoER2_Dab1_Obs	normal
ApoER2_Dab1_Obs_4	ApoER2_Dab1_Obs	ApoER2_Dab1*scale4_ApoER2_Dab1_Obs	lin	sd4_ApoER2_Dab1_Obs	normal
ApoER2_Dab1_Obs_5	ApoER2_Dab1_Obs	ApoER2_Dab1*scale5_ApoER2_Dab1_Obs	lin	sd5_ApoER2_Dab1_Obs	normal
ApoER2_re_Dab1_Obs_1	ApoER2_re_Dab1_Obs	ApoER2_re_Dab1*scale1_ApoER2_re_Dab1_Obs	lin	sd1_ApoER2_re_Dab1_Obs	normal
ApoER2_re_Dab1_Obs_2	ApoER2_re_Dab1_Obs	ApoER2_re_Dab1*scale2_ApoER2_re_Dab1_Obs	lin	sd2_ApoER2_re_Dab1_Obs	normal
ApoER2_re_Dab1_Obs_3	ApoER2_re_Dab1_Obs	ApoER2_re_Dab1*scale3_ApoER2_re_Dab1_Obs	lin	sd3_ApoER2_re_Dab1_Obs	normal
ApoER2_re_Dab1_Obs_4	ApoER2_re_Dab1_Obs	ApoER2_re_Dab1*scale4_ApoER2_re_Dab1_Obs	lin	sd4_ApoER2_re_Dab1_Obs	normal
Compound_1_Obs_1	Compound_1_Obs	ApoER2_Dab1 + ApoER2_re_Dab1SFKInh + pApoER2_re_Dab1	lin	sd1_Compound_1_Obs	normal
Compound_1_Obs_2	Compound_1_Obs	ApoER2_Dab1 + ApoER2_re_Dab1SFKInh + pApoER2_re_Dab1	lin	sd2_Compound_1_Obs	normal
Compound_1_Obs_3	Compound_1_Obs	ApoER2_Dab1 + ApoER2_re_Dab1SFKInh + pApoER2_re_Dab1	lin	sd3_Compound_1_Obs	normal
Compound_1_Obs_4	Compound_1_Obs	ApoER2_Dab1 + ApoER2_re_Dab1SFKInh + pApoER2_re_Dab1	lin	sd4_Compound_1_Obs	normal
Compound_1_Obs_5	Compound_1_Obs	ApoER2_Dab1 + ApoER2_re_Dab1SFKInh + pApoER2_re_Dab1	lin	sd5_Compound_1_Obs	normal
SFK_Obs_1	SFK_Obs	SFK*scale1_SFK_Obs	lin	sd1_SFK_Obs	normal
SFK_Obs_2	SFK_Obs	SFK*scale2_SFK_Obs	lin	sd2_SFK_Obs	normal
