parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
ApoER2_Dab1_SFK_degrad	ApoER2_Dab1_SFK_degrad	log10	1e-05	1000	0.0169824365246174	1	parameterScaleUniform	
ApoER2_Dab1_SFK_recycle	ApoER2_Dab1_SFK_recycle	log10	1e-05	1000	4.43608643931433	1	parameterScaleUniform	
ApoER2_Dab1_SFK_release	ApoER2_Dab1_SFK_release	log10	0.01	100000	2454.70891568503	1	parameterScaleUniform	
ApoER2_Dab1_act	ApoER2_Dab1_act	log10	0.01	10000000	10000	0	parameterScaleUniform	
ApoER2_Dab1_bind_SFK	ApoER2_Dab1_bind_SFK	log10	1e-05	1000	154.881661891248	1	parameterScaleUniform	
ApoER2_Dab1_bind_SFK_Reelin	ApoER2_Dab1_bind_SFK_Reelin	log10	0.01	1000000	323593.656929628	1	parameterScaleUniform	
Dab1_bind_Reelin	Dab1_bind_Reelin	log10	1e-05	1000	0.00676082975391982	1	parameterScaleUniform	
Dab1_release	Dab1_release	log10	1e-05	1000	0.0549540873857625	1	parameterScaleUniform	
SFK_inhibition_ratio	SFK_inhibition_ratio	log10	1e-10	1	0.574116462207328	1	parameterScaleUniform	
init_ApoER2_Dab1	init_ApoER2_Dab1	log10	0.01	1000	1	0	parameterScaleUniform	
init_ApoER2_Dab1SFK	init_ApoER2_Dab1SFK	log10	1e-05	1000	8.128305161641e-05	1	parameterScaleUniform	
offset1_ApoER2_Dab1_Obs	offset1_ApoER2_Dab1_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset1_ApoER2_re_Dab1SFKInh_Obs	offset1_ApoER2_re_Dab1SFKInh_Obs	log10	1e-08	0.0001	1e-06	1	parameterScaleUniform	
offset2_ApoER2_Dab1_Obs	offset2_ApoER2_Dab1_Obs	log10	0.0001	1	0.01	1	parameterScaleUniform	
offset3_ApoER2_Dab1_Obs	offset3_ApoER2_Dab1_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset4_ApoER2_Dab1_Obs	offset4_ApoER2_Dab1_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
offset5_ApoER2_Dab1_Obs	offset5_ApoER2_Dab1_Obs	log10	1e-05	0.1	0.001	1	parameterScaleUniform	
scale1_ApoER2_Dab1SFK_Obs	scale1_ApoER2_Dab1SFK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_ApoER2_Dab1_Obs	scale1_ApoER2_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_ApoER2_re_Dab1SFKInh_Obs	scale1_ApoER2_re_Dab1SFKInh_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_pApoER2_re_Dab1_Obs	scale1_pApoER2_re_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_ApoER2_Dab1SFK_Obs	scale2_ApoER2_Dab1SFK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_ApoER2_Dab1_Obs	scale2_ApoER2_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_pApoER2_re_Dab1_Obs	scale2_pApoER2_re_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_ApoER2_Dab1SFK_Obs	scale3_ApoER2_Dab1SFK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_ApoER2_Dab1_Obs	scale3_ApoER2_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale3_pApoER2_re_Dab1_Obs	scale3_pApoER2_re_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale4_ApoER2_Dab1SFK_Obs	scale4_ApoER2_Dab1SFK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale4_ApoER2_Dab1_Obs	scale4_ApoER2_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale5_ApoER2_Dab1SFK_Obs	scale5_ApoER2_Dab1SFK_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale5_ApoER2_Dab1_Obs	scale5_ApoER2_Dab1_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
sd1_ApoER2_Dab1SFKInh_Obs	sd1_ApoER2_Dab1SFKInh_Obs	log10	0.0001	10	0.096538378511649	1	parameterScaleUniform	
sd1_ApoER2_Dab1SFK_Obs	sd1_ApoER2_Dab1SFK_Obs	log10	0.0001	10	0.0946237161365793	1	parameterScaleUniform	
sd1_ApoER2_Dab1_Obs	sd1_ApoER2_Dab1_Obs	log10	0.0001	10	0.0958296716306375	1	parameterScaleUniform	
sd1_ApoER2_Dab1_released_Obs	sd1_ApoER2_Dab1_released_Obs	log10	0.0001	10	0.0916220490122	1	parameterScaleUniform	
sd1_ApoER2_re_Dab1SFKInh_Obs	sd1_ApoER2_re_Dab1SFKInh_Obs	log10	0.001	100	0.103055221244716	1	parameterScaleUniform	
sd1_ApoER2_re_Dab1SFK_Obs	sd1_ApoER2_re_Dab1SFK_Obs	log10	0.0001	10	0.091411324147025	1	parameterScaleUniform	
sd1_SFK_Obs	sd1_SFK_Obs	log10	0.0001	10	0.0984237708779116	1	parameterScaleUniform	
sd1_pApoER2_re_Dab1_Obs	sd1_pApoER2_re_Dab1_Obs	log10	0.0001	10	0.0961612278383665	1	parameterScaleUniform	
sd2_ApoER2_Dab1SFK_Obs	sd2_ApoER2_Dab1SFK_Obs	log10	0.0001	10	0.0977687358967421	1	parameterScaleUniform	
sd2_ApoER2_Dab1_Obs	sd2_ApoER2_Dab1_Obs	log10	0.0001	10	0.099930946300259	1	parameterScaleUniform	
sd2_ApoER2_Dab1_released_Obs	sd2_ApoER2_Dab1_released_Obs	log10	0.0001	10	0.0925124111252552	1	parameterScaleUniform	
sd2_ApoER2_re_Dab1SFK_Obs	sd2_ApoER2_re_Dab1SFK_Obs	log10	0.0001	10	0.0882673320721258	1	parameterScaleUniform	
sd2_SFK_Obs	sd2_SFK_Obs	log10	0.0001	10	0.0932824620253989	1	parameterScaleUniform	
sd2_pApoER2_re_Dab1_Obs	sd2_pApoER2_re_Dab1_Obs	log10	0.0001	10	0.0959621567110341	1	parameterScaleUniform	
sd3_ApoER2_Dab1SFK_Obs	sd3_ApoER2_Dab1SFK_Obs	log10	0.0001	10	0.0958738129884533	1	parameterScaleUniform	
sd3_ApoER2_Dab1_Obs	sd3_ApoER2_Dab1_Obs	log10	0.0001	10	0.0915798652132751	1	parameterScaleUniform	
sd3_ApoER2_re_Dab1SFK_Obs	sd3_ApoER2_re_Dab1SFK_Obs	log10	0.0001	10	0.0946019307289913	1	parameterScaleUniform	
sd3_SFK_Obs	sd3_SFK_Obs	log10	0.0001	10	0.0983784554914418	1	parameterScaleUniform	
sd3_pApoER2_re_Dab1_Obs	sd3_pApoER2_re_Dab1_Obs	log10	0.0001	10	0.0917698453849781	1	parameterScaleUniform	
sd4_ApoER2_Dab1SFK_Obs	sd4_ApoER2_Dab1SFK_Obs	log10	0.0001	10	0.0912430932591198	1	parameterScaleUniform	
sd4_ApoER2_Dab1_Obs	sd4_ApoER2_Dab1_Obs	log10	0.0001	10	0.0911590939536167	1	parameterScaleUniform	
sd4_ApoER2_re_Dab1SFK_Obs	sd4_ApoER2_re_Dab1SFK_Obs	log10	0.0001	10	0.0987188301068396	1	parameterScaleUniform	
sd4_SFK_Obs	sd4_SFK_Obs	log10	0.0001	10	0.0975888050030289	1	parameterScaleUniform	
sd5_ApoER2_Dab1SFK_Obs	sd5_ApoER2_Dab1SFK_Obs	log10	0.0001	10	0.0939290651618399	1	parameterScaleUniform	
sd5_ApoER2_Dab1_Obs	sd5_ApoER2_Dab1_Obs	log10	0.0001	10	0.0986052412530856	1	parameterScaleUniform	
sd5_SFK_Obs	sd5_SFK_Obs	log10	0.0001	10	0.0976562402499495	1	parameterScaleUniform	
