observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.162532755342112	0			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.220317280168954	15			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	-0.190613763829166	25			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.144632001748316	40			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.0650119777976269	55			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	60			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	-0.0254948498387021	70			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	80			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.258936862719937	90			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.0854761088198199	100			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	-0.269771102433028	150			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.00574315569708136	200			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	-0.0580377928369503	250			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	-0.0982239527879669	300			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	0.324829631651697	350			normal
AC_Fsk_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	-0.0475128189801999	450			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	1.9683540426624	0			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	2.62972520766579	15			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	1.46207280364933	25			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	1.60977726482655	40			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	55			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	1.55176110358192	60			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	70			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	1.30493409447869	80			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	90			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	1.89735361732906	100			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	150			normal
Compound_1_Obs_1	D001_Isensee_RS41_TC001	D001_Isensee_RS41_TC001	NaN	200			normal
