parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
Rec_act	Rec_act	log10	1e-05	1000	0.00316227766016838	1	parameterScaleUniform	
S2tot	S2tot	log10	1e-05	1000	114.815362149688	1	parameterScaleUniform	
S3tot	S3tot	log10	1e-05	1000	17.3780082874938	1	parameterScaleUniform	
S4tot	S4tot	log10	1e-05	1000	89.1250938133745	1	parameterScaleUniform	
S_dephos	S_dephos	log10	1e-05	1000	0.258821291515309	1	parameterScaleUniform	
S_dephosphos	S_dephosphos	log10	1e-05	1000	0.0489778819368446	1	parameterScaleUniform	
S_phos	S_phos	log10	1e-05	1000	0.714496326075513	1	parameterScaleUniform	
geneA_act1	geneA_act1	log10	1e-05	1000	0.0186208713666287	1	parameterScaleUniform	
geneA_act2	geneA_act2	log10	1e-05	1000	0.000630957344480193	1	parameterScaleUniform	
geneA_act3	geneA_act3	lin	0	1000	0	0	parameterScaleUniform	
geneA_inh1	geneA_inh1	lin	0	1000	0	0	parameterScaleUniform	
geneA_inh2	geneA_inh2	log10	1e-05	1000	0.0380189396320561	1	parameterScaleUniform	
geneA_inh3	geneA_inh3	log10	1e-05	1000	0.0147910838816821	1	parameterScaleUniform	
geneA_turn	geneA_turn	log10	1e-05	1000	0.00575439937337157	1	parameterScaleUniform	
geneB_act1	geneB_act1	log10	1e-05	1000	0.247742205763329	1	parameterScaleUniform	
geneB_act2	geneB_act2	log10	1e-05	1000	0.0758577575029184	1	parameterScaleUniform	
geneB_act3	geneB_act3	log10	1e-05	1000	0.0239883291901949	1	parameterScaleUniform	
geneB_inh1	geneB_inh1	lin	0	1000	0	0	parameterScaleUniform	
geneB_inh2	geneB_inh2	log10	1e-05	1000	1.1423521410363	1	parameterScaleUniform	
geneB_inh3	geneB_inh3	log10	1e-05	1000	0.315500462337463	1	parameterScaleUniform	
geneB_turn	geneB_turn	log10	1e-05	1000	0.00676082975391982	1	parameterScaleUniform	
geneC_act1	geneC_act1	log10	1e-05	1000	0.00630957344480193	1	parameterScaleUniform	
geneC_act2	geneC_act2	lin	0	1000	0	0	parameterScaleUniform	
