observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
CISHnRNA3_Obs_01	CISHnRNA3_Obs	offset10_CISHnRNA3_Obs + CISHnRNA3*scale10_CISHnRNA3_Obs	lin	sd10_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_02	CISHnRNA3_Obs	offset1_CISHnRNA3_Obs + CISHnRNA3*scale1_CISHnRNA3_Obs	lin	sd1_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_03	CISHnRNA3_Obs	offset2_CISHnRNA3_Obs + CISHnRNA3*scale2_CISHnRNA3_Obs	lin	sd2_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_04	CISHnRNA3_Obs	offset3_CISHnRNA3_Obs + CISHnRNA3*scale3_CISHnRNA3_Obs	lin	sd3_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_05	CISHnRNA3_Obs	offset4_CISHnRNA3_Obs + CISHnRNA3*scale4_CISHnRNA3_Obs	lin	sd4_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_06	CISHnRNA3_Obs	offset5_CISHnRNA3_Obs + CISHnRNA3*scale5_CISHnRNA3_Obs	lin	sd5_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_07	CISHnRNA3_Obs	offset6_CISHnRNA3_Obs + CISHnRNA3*scale6_CISHnRNA3_Obs	lin	sd6_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_08	CISHnRNA3_Obs	offset7_CISHnRNA3_Obs + CISHnRNA3*scale7_CISHnRNA3_Obs	lin	sd7_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_09	CISHnRNA3_Obs	offset8_CISHnRNA3_Obs + CISHnRNA3*scale8_CISHnRNA3_Obs	lin	sd8_CISHnRNA3_Obs	normal
CISHnRNA3_Obs_10	CISHnRNA3_Obs	offset9_CISHnRNA3_Obs + CISHnRNA3*scale9_CISHnRNA3_Obs	lin	sd9_CISHnRNA3_Obs	normal
CISHnRNA5_Obs_1	CISHnRNA5_Obs	offset1_CISHnRNA5_Obs + CISHnRNA5*scale1_CISHnRNA5_Obs	lin	sd1_CISHnRNA5_Obs	normal
CISHnRNA5_Obs_2	CISHnRNA5_Obs	offset2_CISHnRNA5_Obs + CISHnRNA5*scale2_CISHnRNA5_Obs	lin	sd2_CISHnRNA5_Obs	normal
CISHnRNA5_Obs_3	CISHnRNA5_Obs	offset3_CISHnRNA5_Obs + CISHnRNA5*scale3_CISHnRNA5_Obs	lin	sd3_CISHnRNA5_Obs	normal
CISHnRNA5_Obs_4	CISHnRNA5_Obs	offset4_CISHnRNA5_Obs + CISHnRNA5*scale4_CISHnRNA5_Obs	lin	sd4_CISHnRNA5_Obs	normal
CISHnRNA5_Obs_5	CISHnRNA5_Obs	offset5_CISHnRNA5_Obs + CISHnRNA5*scale5_CISHnRNA5_Obs	lin	sd5_CISHnRNA5_Obs	normal
CISHnRNA5_Obs_6	CISHnRNA5_Obs	offset6_CISHnRNA5_Obs + CISHnRNA5*scale6_CISHnRNA5_Obs	lin	sd6_CISHnRNA5_Obs	normal
