observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.58469373640793	0			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	7			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	10			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.85365057983299	15			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	20			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.34146796330102	25			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	30			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	35			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.20155194150818	40			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	45			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	50			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.17036889268843	55			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	60			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	65			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	70			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.64332527181405	75			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	80			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	85			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.52511225836222	90			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	95			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	2.13031254856738	100			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.60533131423482	150			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.09978086242637	200			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	1.56328638081492	250			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	300			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	350			normal
EpoRJAK2_Obs_06	D01_Merkle_RS41_TC001	NaN	400			normal
