observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
Rec_i_Obs	D1_Raia_RS14_TC001	244.227286961882	0			normal
Rec_i_Obs	D1_Raia_RS14_TC001	243.970734691616	3			normal
Rec_i_Obs	D1_Raia_RS14_TC001	NaN	4			normal
Rec_i_Obs	D1_Raia_RS14_TC001	253.399927005785	6.5			normal
Rec_i_Obs	D1_Raia_RS14_TC001	NaN	8			normal
Rec_i_Obs	D1_Raia_RS14_TC001	214.632717914477	10			normal
Rec_i_Obs	D1_Raia_RS14_TC001	250.174461967454	15			normal
Rec_i_Obs	D1_Raia_RS14_TC001	251.185287052947	20			normal
Rec_i_Obs	D1_Raia_RS14_TC001	243.804980138283	25			normal
Rec_i_Obs	D1_Raia_RS14_TC001	NaN	30			normal
Rec_i_Obs	D1_Raia_RS14_TC001	244.936174185554	35			normal
Rec_i_Obs	D1_Raia_RS14_TC001	244.238678409677	40			normal
Rec_i_Obs	D1_Raia_RS14_TC001	NaN	45			normal
Rec_i_Obs	D1_Raia_RS14_TC001	228.18385919987	50			normal
Rec_i_Obs	D1_Raia_RS14_TC001	NaN	55			normal
Rec_i_Obs	D1_Raia_RS14_TC001	247.475188432163	60			normal
Rec_i_Obs	D1_Raia_RS14_TC001	NaN	70			normal
Rec_Obs	D1_Raia_RS14_TC001	0.891719268812436	0			normal
Rec_Obs	D1_Raia_RS14_TC001	3.54982343446039	3			normal
Rec_Obs	D1_Raia_RS14_TC001	NaN	4			normal
Rec_Obs	D1_Raia_RS14_TC001	3.76986531684169	6.5			normal
Rec_Obs	D1_Raia_RS14_TC001	NaN	8			normal
Rec_Obs	D1_Raia_RS14_TC001	5.18788374272773	10			normal
Rec_Obs	D1_Raia_RS14_TC001	5.69835677203364	15			normal
Rec_Obs	D1_Raia_RS14_TC001	6.0411226967675	20			normal
Rec_Obs	D1_Raia_RS14_TC001	5.75693373242482	25			normal
Rec_Obs	D1_Raia_RS14_TC001	5.38628994777165	30			normal
Rec_Obs	D1_Raia_RS14_TC001	NaN	35			normal
Rec_Obs	D1_Raia_RS14_TC001	NaN	40			normal
Rec_Obs	D1_Raia_RS14_TC001	NaN	45			normal
Rec_Obs	D1_Raia_RS14_TC001	NaN	50			normal
