parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
CD274mRNA_production	CD274mRNA_production	log10	1e-05	1000	0.0234422881531992	1	parameterScaleUniform	
DecoyR_binding	DecoyR_binding	log10	1e-05	1000	0.00323593656929628	1	parameterScaleUniform	
JAK2_p_inhibition	JAK2_p_inhibition	log10	1e-05	1000	0.152405275379729	1	parameterScaleUniform	
JAK2_phosphorylation	JAK2_phosphorylation	log10	1e-05	1000	0.987711249096576	1	parameterScaleUniform	
Kon_IL13Rec	Kon_IL13Rec	log10	1e-05	1000	0.0038904514499428	1	parameterScaleUniform	
Rec_intern	Rec_intern	log10	1e-05	1000	0.481947797625127	1	parameterScaleUniform	
Rec_phosphorylation	Rec_phosphorylation	log10	1e-05	1000	1000	1	parameterScaleUniform	
Rec_recycle	Rec_recycle	log10	1e-05	1000	0.00416869383470336	1	parameterScaleUniform	
SOCS3_accumulation	SOCS3_accumulation	log10	1e-05	1000	660.693448007596	1	parameterScaleUniform	
SOCS3_degradation	SOCS3_degradation	log10	1e-05	1000	0.0676082975391982	1	parameterScaleUniform	
SOCS3_translation	SOCS3_translation	log10	1e-05	1000	17.3780082874938	1	parameterScaleUniform	
SOCS3mRNA_production	SOCS3mRNA_production	log10	1e-05	1000	0.226986485188382	1	parameterScaleUniform	
STAT5_phosphorylation	STAT5_phosphorylation	log10	1e-05	1000	0.0147910838816821	1	parameterScaleUniform	
init_Rec_i	init_Rec_i	log10	1e-05	1000	331.131121482591	1	parameterScaleUniform	
pJAK2_dephosphorylation	pJAK2_dephosphorylation	log10	1e-05	1000	0.000131825673855641	1	parameterScaleUniform	
pRec_degradation	pRec_degradation	log10	1e-05	1000	0.18706821403658	1	parameterScaleUniform	
pRec_intern	pRec_intern	log10	1e-05	1000	0.358921934645005	1	parameterScaleUniform	
pSTAT5_dephosphorylation	pSTAT5_dephosphorylation	log10	1e-05	1000	0.000316227766016838	1	parameterScaleUniform	
sd1_Compound_1_Obs	sd1_Compound_1_Obs	log10	0.001	100	0.315689400219708	1	parameterScaleUniform	
sd1_Compound_2_Obs	sd1_Compound_2_Obs	log10	0.1	10000	39.4729877659786	1	parameterScaleUniform	
sd1_Rec_Obs	sd1_Rec_Obs	log10	0.001	100	0.301751890730701	1	parameterScaleUniform	
sd1_Rec_i_Obs	sd1_Rec_i_Obs	log10	0.1	10000	39.345946763408	1	parameterScaleUniform	
sd1_pJAK2_Obs	sd1_pJAK2_Obs	log10	0.001	100	0.244703397947532	1	parameterScaleUniform	
sd2_Compound_1_Obs	sd2_Compound_1_Obs	log10	0.1	10000	24.5980114878885	1	parameterScaleUniform	
sd2_Compound_2_Obs	sd2_Compound_2_Obs	log10	1	100000	246.888010490621	1	parameterScaleUniform	
sd2_Rec_Obs	sd2_Rec_Obs	log10	0.001	100	0.216755437029667	1	parameterScaleUniform	
sd2_pJAK2_Obs	sd2_pJAK2_Obs	log10	0.001	100	0.191060099684313	1	parameterScaleUniform	
sd3_Compound_1_Obs	sd3_Compound_1_Obs	log10	0.1	10000	22.4233244029657	1	parameterScaleUniform	
sd3_Compound_2_Obs	sd3_Compound_2_Obs	log10	1	100000	244.849938911193	1	parameterScaleUniform	
sd3_pJAK2_Obs	sd3_pJAK2_Obs	log10	0.001	100	0.270016311261912	1	parameterScaleUniform	
sd4_Compound_1_Obs	sd4_Compound_1_Obs	log10	0.1	10000	25.3980281377282	1	parameterScaleUniform	
sd4_Compound_2_Obs	sd4_Compound_2_Obs	log10	1	100000	274.031192103028	1	parameterScaleUniform	
