observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
IL13_DecoyR_Obs_1	IL13_DecoyR_Obs	IL13_DecoyR	lin	sd1_IL13_DecoyR_Obs	normal
IL13_DecoyR_Obs_2	IL13_DecoyR_Obs	IL13_DecoyR	lin	sd2_IL13_DecoyR_Obs	normal
Rec_Obs	Rec_Obs	Rec	lin	sd1_Rec_Obs	normal
Rec_i_Obs	Rec_i_Obs	Rec_i	lin	sd1_Rec_i_Obs	normal
pJAK2_Obs_1	pJAK2_Obs	pJAK2	lin	sd1_pJAK2_Obs	normal
pJAK2_Obs_2	pJAK2_Obs	pJAK2	lin	sd2_pJAK2_Obs	normal
pSTAT5_Obs_1	pSTAT5_Obs	pSTAT5	lin	sd1_pSTAT5_Obs	normal
pSTAT5_Obs_2	pSTAT5_Obs	pSTAT5	lin	sd2_pSTAT5_Obs	normal
p_IL13_Rec_Obs_1	p_IL13_Rec_Obs	p_IL13_Rec	lin	sd1_p_IL13_Rec_Obs	normal
p_IL13_Rec_Obs_2	p_IL13_Rec_Obs	p_IL13_Rec	lin	sd2_p_IL13_Rec_Obs	normal
