observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.024305169767707	0			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	8.5			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	9			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	-0.0536593136809385	10			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	15			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.0454101430738171	20			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	25			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	-0.00271611571744773	30			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	35			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.0334886574243483	40			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	45			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	50			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.0230207750698222	55			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	60			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.0688928931948652	70			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	75			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	80			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	-0.0402737968859649	85			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	NaN	90			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.032239810105616	100			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	-0.040858247178125	150			normal
IR1in_Obs_1	D1_Schwen_RS23_TC001	0.0371442456719775	200			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	0.0268744013511076	0			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	8.5			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.0279758912235495	9			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	10			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	15			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.00407215278064896	20			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	25			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.0032056480478821	30			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	35			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.00837733620096419	40			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	45			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.0502419245726711	50			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	55			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	0.0166052857802765	60			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	70			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.001763303922965	75			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	80			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	NaN	85			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	0.0506083322912406	90			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.00620168209363255	100			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.00166574435392363	150			normal
Compound_1_Obs_1	D1_Schwen_RS23_TC001	-0.00378226563960196	200			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.00390055542105893	0			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	-0.0331595275943748	8.5			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	9			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	10			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	-0.0334673080163316	15			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	20			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	-0.0308485075009891	25			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	30			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.0155961575092773	35			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	40			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	-0.0192790812727529	45			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	50			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.0280690211453588	55			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	60			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.0395328933723253	70			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	75			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.0294243285724012	80			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	85			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	NaN	90			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.0279019813822004	100			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	0.0297423079153147	150			normal
Compound_2_Obs_1	D1_Schwen_RS23_TC001	-0.028355090494422	200			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	6.6651884933036e-05	0			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00602312659919689	9			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00511497159367567	20			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00479137665918741	30			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00459831344363553	40			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.0040973777834383	50			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.0039674146337665	60			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00405642336961457	75			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00345506841544524	90			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00322674409490535	100			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00260641783062852	150			normal
Compound_1_Obs_2	D2_Schwen_RS23_TC002	0.00215085990194012	200			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.00194446669562137	0			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0559754463203042	10			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0522297669699203	20			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0474775813094477	30			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0432945459743852	45			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0397552656333199	55			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0387247923727687	70			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0361920041639079	90			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0338524524994788	100			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0283971994486662	150			normal
Compound_1_Obs_3	D3_Schwen_RS23_TC003	0.0210098099399488	200			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.00320305642439706	0			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	7.5			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0812991625382521	10			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	15			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0964712047962566	20			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	25			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0993573217750574	30			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	40			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0893439204164109	45			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	50			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0892596519972379	55			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	60			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	65			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0828170578113507	70			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	80			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.072395407407674	85			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	NaN	95			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0716878353873822	100			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0557574282823117	150			normal
IR1in_Obs_2	D4_Schwen_RS23_TC004	0.0419785868027655	200			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.00434105673657281	0			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.620350404568045	7.5			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	10			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.536624297688762	15			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	20			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.477142808060049	25			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.448185585197835	30			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.451029937241611	40			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	45			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.421230587847206	50			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	55			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	60			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.379084042905217	65			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	70			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.373905186057813	80			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	85			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.372595065945447	95			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.334258928005963	100			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	0.257459023159984	150			normal
Compound_1_Obs_4	D4_Schwen_RS23_TC004	NaN	200			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.00189453167053502	0			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.614686951884508	7.5			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	10			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.567617092879586	15			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	20			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.537531656137801	25			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.534936191864365	30			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.537349086104326	40			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	45			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.486262166143538	50			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	55			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.43307139656593	60			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	65			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.433104540712914	70			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	80			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.381369179340196	85			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	NaN	95			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.370164016637492	100			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.349508189130432	150			normal
Compound_2_Obs_2	D4_Schwen_RS23_TC004	0.245778105621834	200			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	67.5132266867437	0			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	6.5			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	8.5			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	9			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	71.3211046306704	10			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	15			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	73.9706254399211	20			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	25			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	71.5333326265144	30			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	35			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	40			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	69.0242055987231	45			normal
Rec1_Obs_1	D5_Schwen_RS23_TC005	NaN	50			normal
