parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
ini_R1	ini_R1	log10	1e-05	1000	57.5439937337157	1	parameterScaleUniform	
ini_R2fold	ini_R2fold	log10	1e-05	1000	21.8776162394955	1	parameterScaleUniform	
ka1	ka1	log10	1e-05	1000	0.00323593656929628	1	parameterScaleUniform	
ka2fold	ka2fold	log10	1e-05	1000	9.81747943019984	1	parameterScaleUniform	
kd1	kd1	log10	1e-05	1000	5.55904257270404	1	parameterScaleUniform	
kd2fold	kd2fold	log10	1e-05	1000	9.95405417351527	1	parameterScaleUniform	
kin	kin	log10	1e-05	1000	0.64268771731702	1	parameterScaleUniform	
kin2	kin2	log10	1e-05	1000	0.290402265446445	1	parameterScaleUniform	
koff_unspec	koff_unspec	log10	1e-05	1000	10.2329299228075	1	parameterScaleUniform	
kon_unspec	kon_unspec	log10	1e-05	1000	23.4422881531992	1	parameterScaleUniform	
kout	kout	log10	1e-05	1000	0.0371535229097173	1	parameterScaleUniform	
kout2	kout2	log10	1e-05	1000	0.0194984459975805	1	parameterScaleUniform	
kout_frag	kout_frag	log10	1e-05	1000	0.00933254300796992	1	parameterScaleUniform	
sd1_IR1in_Obs	sd1_IR1in_Obs	log10	0.001	100	0.150587873318701	1	parameterScaleUniform	
sd1_Rec2_Obs	sd1_Rec2_Obs	log10	1	100000	193.419385861928	1	parameterScaleUniform	
sd2_IR1in_Obs	sd2_IR1in_Obs	log10	1e-06	0.1	0.000362493313460957	1	parameterScaleUniform	
sd2_Rec2_Obs	sd2_Rec2_Obs	log10	1	100000	132.251315304095	1	parameterScaleUniform	
sd3_IR1in_Obs	sd3_IR1in_Obs	log10	1e-05	1	0.00390660948345936	1	parameterScaleUniform	
sd3_Rec2_Obs	sd3_Rec2_Obs	log10	0.1	10000	33.4811217386054	1	parameterScaleUniform	
sd4_IR1in_Obs	sd4_IR1in_Obs	log10	0.0001	10	0.0362827335940335	1	parameterScaleUniform	
