observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.0105878544435063	0			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	NaN	0.15			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.0399745182667008	0.25			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	NaN	0.3			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.0396122513758589	0.45			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	NaN	0.65			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.0533176021804516	0.75			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	NaN	0.85			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.042476383956467	1			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.0514918621867777	1.5			normal
IPR_I2_Obs_1	D1_Sneyd_RS03_TC001	0.0632125939429647	2			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.00737053976675719	0			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.16909077554839	0.15			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	NaN	0.25			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.131483923464989	0.3			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.149554779731238	0.45			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.139406078843515	0.65			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	NaN	0.75			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.0897024929833778	0.85			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.0732767147431072	1			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.105275373872929	1.5			normal
Compound_1_Obs_1	D1_Sneyd_RS03_TC001	0.0848122635640111	2			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	-0.00873184475207673	0			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.1			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.100305302336305	0.15			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.25			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.0477605836223374	0.35			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.5			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.118061070517945	0.55			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.65			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.0987899325673021	0.75			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.8			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.136764093183297	0.95			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.180449306675067	1			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.123688905063821	1.5			normal
IPR_I2_Obs_2	D2_Sneyd_RS03_TC002	0.161796212800323	2			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	-0.0401992097554504	0			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0900747436733664	0.1			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.15			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0700870953505476	0.25			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0898345690845744	0.35			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0746134802923427	0.5			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.55			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.115209790945549	0.65			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.75			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0686830587450691	0.8			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	NaN	0.95			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0653710259586143	1			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0643762469716305	1.5			normal
Compound_1_Obs_2	D2_Sneyd_RS03_TC002	0.0609596618961178	2			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	-0.0110513450126556	0			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.15			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.119114635958669	0.2			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.3			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.193400241540982	0.4			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.5			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.258805126003795	0.6			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.65			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.405157598971386	0.85			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.9			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.272004936167267	1			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.285186702076163	1.5			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	0.267456789211989	2			normal
IPR_I2_Obs_3	D3_Sneyd_RS03_TC003	NaN	2.5			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	-0.000498285774194031	0			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0525402755797574	0.15			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.2			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0450944965581192	0.3			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.4			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0381894852402377	0.5			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.6			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0324991847327688	0.65			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	NaN	0.85			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0405530704997348	0.9			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.02679067232899	1			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0456507015505204	1.5			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0227796416827607	2			normal
Compound_1_Obs_3	D3_Sneyd_RS03_TC003	0.0460257448191339	2.5			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.0458609943447045	0			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.201786507402	0.15			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.300467703813401	0.3			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.334098411047795	0.45			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	NaN	0.5			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.387701699790135	0.65			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	NaN	0.7			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.488575782391995	0.9			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.5425695565388	1			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	0.494993803145337	1.5			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	NaN	2			normal
IPR_I2_Obs_4	D4_Sneyd_RS03_TC004	NaN	2.5			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	-0.000225148405536472	0			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0144515890361133	0.15			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0087550152616751	0.3			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	NaN	0.45			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0100038277089771	0.5			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	NaN	0.65			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0104191102553567	0.7			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0134815364112371	0.9			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.00651751171595952	1			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0101454872052983	1.5			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.0126977035601505	2			normal
Compound_1_Obs_4	D4_Sneyd_RS03_TC004	0.00821279203193397	2.5			normal
IPR_I2_Obs_5	D5_Sneyd_RS03_TC005	0.144585355522548	0			normal
IPR_I2_Obs_5	D5_Sneyd_RS03_TC005	0.495790065194537	0.095			normal
IPR_I2_Obs_5	D5_Sneyd_RS03_TC005	NaN	0.15			normal
IPR_I2_Obs_5	D5_Sneyd_RS03_TC005	0.837962066797353	0.2			normal
IPR_I2_Obs_5	D5_Sneyd_RS03_TC005	0.813404868129242	0.3			normal
IPR_I2_Obs_5	D5_Sneyd_RS03_TC005	NaN	0.35			normal
