parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
f_pstat3_imp	f_pstat3_imp	lin	0	100	3.94	1	parameterScaleUniform	
gp130_act_jak1	gp130_act_jak1	log10	1e-15	1000000	0.913271699664817	1	parameterScaleUniform	
gp130_deg	gp130_deg	log10	1e-05	1000	0.00537031796370253	1	parameterScaleUniform	
gp130_pro	gp130_pro	log10	1e-05	1000	0.00275422870333817	1	parameterScaleUniform	
jak1_act_basal	jak1_act_basal	log10	1e-15	1000000	0.00436515832240166	1	parameterScaleUniform	
jak1_act_il6	jak1_act_il6	log10	1e-15	1000000	0.00776247116628692	1	parameterScaleUniform	
jak1_gp130_dea	jak1_gp130_dea	log10	1e-15	1000000	0.143548943335366	1	parameterScaleUniform	
jak1_inh_ruxolitinib	jak1_inh_ruxolitinib	log10	1e-15	1000000	0.00758577575029184	1	parameterScaleUniform	
rux_degrade	rux_degrade	log10	1e-15	1000000	0.00091201083935591	1	parameterScaleUniform	
scale10_STAT3_Obs	scale10_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale10_nSOCS3RNA2_Obs	scale10_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale10_nSOCS3RNA4_Obs	scale10_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale10_nSTAT3_Obs	scale10_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale11_STAT3_Obs	scale11_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale11_nSOCS3RNA2_Obs	scale11_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale11_nSOCS3RNA4_Obs	scale11_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale11_nSTAT3_Obs	scale11_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale12_STAT3_Obs	scale12_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale12_nSOCS3RNA2_Obs	scale12_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale12_nSOCS3RNA4_Obs	scale12_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale12_nSTAT3_Obs	scale12_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale13_STAT3_Obs	scale13_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale13_nSOCS3RNA2_Obs	scale13_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale13_nSOCS3RNA4_Obs	scale13_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale13_nSTAT3_Obs	scale13_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale14_STAT3_Obs	scale14_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale14_nSOCS3RNA2_Obs	scale14_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale14_nSOCS3RNA4_Obs	scale14_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale14_nSTAT3_Obs	scale14_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale15_STAT3_Obs	scale15_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale15_nSOCS3RNA2_Obs	scale15_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale15_nSOCS3RNA4_Obs	scale15_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale15_nSTAT3_Obs	scale15_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale16_STAT3_Obs	scale16_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale16_nSOCS3RNA2_Obs	scale16_nSOCS3RNA2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale16_nSOCS3RNA4_Obs	scale16_nSOCS3RNA4_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale16_nSTAT3_Obs	scale16_nSTAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale17_STAT3_Obs	scale17_STAT3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
