observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
Compound_1_Obs_01	Compound_1_Obs	scale10_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd10_Compound_1_Obs	normal
Compound_1_Obs_02	Compound_1_Obs	scale11_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd11_Compound_1_Obs	normal
Compound_1_Obs_03	Compound_1_Obs	scale12_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd12_Compound_1_Obs	normal
Compound_1_Obs_04	Compound_1_Obs	scale13_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd13_Compound_1_Obs	normal
Compound_1_Obs_05	Compound_1_Obs	scale14_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd14_Compound_1_Obs	normal
Compound_1_Obs_06	Compound_1_Obs	scale1_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd1_Compound_1_Obs	normal
Compound_1_Obs_07	Compound_1_Obs	scale2_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd2_Compound_1_Obs	normal
Compound_1_Obs_08	Compound_1_Obs	scale3_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd3_Compound_1_Obs	normal
Compound_1_Obs_09	Compound_1_Obs	scale4_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd4_Compound_1_Obs	normal
Compound_1_Obs_10	Compound_1_Obs	scale5_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd5_Compound_1_Obs	normal
Compound_1_Obs_11	Compound_1_Obs	scale6_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd6_Compound_1_Obs	normal
Compound_1_Obs_12	Compound_1_Obs	scale7_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd7_Compound_1_Obs	normal
Compound_1_Obs_13	Compound_1_Obs	scale8_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd8_Compound_1_Obs	normal
Compound_1_Obs_14	Compound_1_Obs	scale9_Compound_1_Obs*(JAK1_gp130 + nSOCS3RNA5 + tpSTAT3)	lin	sd9_Compound_1_Obs	normal
Compound_2_Obs_01	Compound_2_Obs	scale10_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd10_Compound_2_Obs	normal
Compound_2_Obs_02	Compound_2_Obs	scale11_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd11_Compound_2_Obs	normal
Compound_2_Obs_03	Compound_2_Obs	scale12_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd12_Compound_2_Obs	normal
Compound_2_Obs_04	Compound_2_Obs	scale13_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd13_Compound_2_Obs	normal
Compound_2_Obs_05	Compound_2_Obs	scale14_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd14_Compound_2_Obs	normal
Compound_2_Obs_06	Compound_2_Obs	scale15_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd15_Compound_2_Obs	normal
Compound_2_Obs_07	Compound_2_Obs	scale16_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd16_Compound_2_Obs	normal
Compound_2_Obs_08	Compound_2_Obs	scale1_Compound_2_Obs*(nSOCS3RNA1 + pJAK1_gp130 + pJAK1_pgp130)	lin	sd1_Compound_2_Obs	normal
