parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
a11	a11	log10	0.0001	100	0.248313310529557	1	parameterScaleUniform	
a12	a12	log10	0.0001	100	33.8844156139203	1	parameterScaleUniform	
a21	a21	log10	0.0001	100	1.42560759360219	1	parameterScaleUniform	
a22	a22	log10	0.0001	100	0.000109647819614319	1	parameterScaleUniform	
a31	a31	log10	0.0001	100	0.0954992586021436	1	parameterScaleUniform	
a32	a32	log10	1.25892541179417e-05	100	5.62341325190349e-05	1	parameterScaleUniform	
a33	a33	log10	0.0001	100	0.000102329299228075	1	parameterScaleUniform	
m11	m11	log10	100	100000000000	12589254117.9417	1	parameterScaleUniform	
m22	m22	log10	100	10000000000	3311.31121482591	1	parameterScaleUniform	
m31	m31	log10	100	10000000000	8709635899.5608	1	parameterScaleUniform	
m33	m33	log10	100	10000000000	28183829.3126445	1	parameterScaleUniform	
offset1_CERT_Obs	offset1_CERT_Obs	log10	10	100000	1000	1	parameterScaleUniform	
offset1_PI4K3Ba_Obs	offset1_PI4K3Ba_Obs	log10	1000	10000000	100000	1	parameterScaleUniform	
offset1_PKDDAGa_Obs	offset1_PKDDAGa_Obs	log10	0.01	100	1	1	parameterScaleUniform	
offset2_CERT_Obs	offset2_CERT_Obs	log10	100	1000000	10000	1	parameterScaleUniform	
offset2_PI4K3Ba_Obs	offset2_PI4K3Ba_Obs	log10	10	100000	1000	1	parameterScaleUniform	
p11	p11	log10	1e-05	100000	4.85288500162121	1	parameterScaleUniform	
p12	p12	log10	1e-05	100000	0.0102329299228075	1	parameterScaleUniform	
p13	p13	log10	1e-05	100000	0.00138038426460289	1	parameterScaleUniform	
p21	p21	log10	1e-05	100000	3.64753946925608	1	parameterScaleUniform	
p22	p22	log10	1e-05	100000	22.3872113856834	1	parameterScaleUniform	
p31	p31	log10	1e-05	100000	3630.78054770101	1	parameterScaleUniform	
p32	p32	log10	1e-05	100000	12.3026877081238	1	parameterScaleUniform	
p33	p33	log10	1e-05	100000	29512.0922666638	1	parameterScaleUniform	
pu2	pu2	log10	1e-05	1000	1	0	parameterScaleUniform	
pu3	pu3	log10	0.1	1000000000	125892541.179417	1	parameterScaleUniform	
pu4	pu4	log10	0.1	100000000	34673685.0452532	1	parameterScaleUniform	
pu5	pu5	log10	0.1	100000000	66.0693448007596	1	parameterScaleUniform	
pu6	pu6	log10	0.1	100000000	194.984459975805	1	parameterScaleUniform	
s12	s12	log10	100	10000000	79432.8234724282	1	parameterScaleUniform	
s21	s21	log10	100	10000000	1659586.90743756	1	parameterScaleUniform	
s31	s31	log10	100	10000000	3162277.66016838	1	parameterScaleUniform	
scale1_CERT_Obs	scale1_CERT_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_PI4K3Ba_Obs	scale1_PI4K3Ba_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_PKDDAGa_Obs	scale1_PKDDAGa_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_CERT_Obs	scale2_CERT_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale2_PI4K3Ba_Obs	scale2_PI4K3Ba_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
sd1_CERTERa_Obs	sd1_CERTERa_Obs	log10	0.001	100	0.125738999394396	1	parameterScaleUniform	
sd1_CERT_Obs	sd1_CERT_Obs	log10	0.001	100	0.117230333370316	1	parameterScaleUniform	
sd1_PI4K3Ba_Obs	sd1_PI4K3Ba_Obs	log10	0.001	100	0.117806702520504	1	parameterScaleUniform	
sd1_PKDDAGa_Obs	sd1_PKDDAGa_Obs	log10	0.001	100	0.1160032081203	1	parameterScaleUniform	
sd2_CERTERa_Obs	sd2_CERTERa_Obs	log10	0.001	100	0.115797717751894	1	parameterScaleUniform	
sd2_CERT_Obs	sd2_CERT_Obs	log10	0.001	100	0.122772189202732	1	parameterScaleUniform	
sd2_PI4K3Ba_Obs	sd2_PI4K3Ba_Obs	log10	0.001	100	0.121671818768497	1	parameterScaleUniform	
