observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	186403093.314345	0			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	124884401.302012	1			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	153257043.699872	2.5			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	96255596.6063986	3.5			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	166923657.744894	5			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	57873612.1314104	6.5			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	94254173.3244695	8			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	137469260.119213	10			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	189456312.61064	15			normal
Compound_1_Obs_1	D1_Weber_RS44_TC001	D1_Weber_RS44_TC001	139001358.563278	20			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	2696287.36337236	0			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	31650487.4347653	3			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	4			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	13864024.7337339	6			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	8.5			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	28307620.3873895	9			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	35556730.2901379	15			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	18774262.442537	20			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	49298757.716058	25			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	35912306.9498671	30			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	39808979.4639732	40			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	45			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	38547307.2769323	50			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	72205657.5809117	60			normal
CERT_Obs_1	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	45662014.1694382	70			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	103474857.817428	0			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	3			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	484529673.913736	4			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	6			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	269184661.853778	8.5			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	9			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	382556396.814363	15			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	482308871.175066	20			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	460792565.370199	25			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	423206014.309841	30			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	378218111.60645	40			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	394312469.959564	45			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	NaN	50			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	478689942.405641	60			normal
Compound_1_Obs_2	D1_Weber_RS44_TC001	D2_Weber_RS44_TC002	395930829.166969	70			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	2149106.20188934	0			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	4393881.17156175	3.5			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	10529818.0890232	7			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	13298652.6881936	10			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	11966141.9563826	15			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	18956450.4505356	20			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	11635424.5320255	25			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	12714295.3653668	30			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	10420367.3790117	35			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	9831792.66494066	45			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	19069078.0205087	55			normal
CERT_Obs_2	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	17783347.6524361	65			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	93026819.2793763	0			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	200187867.258329	3.5			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	292093878.376331	7			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	303619636.305971	10			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	311526298.426082	15			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	378906483.576328	20			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	447164334.602796	25			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	386612685.783217	30			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	604131768.012773	35			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	266591259.493038	45			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	640194528.121372	55			normal
Compound_1_Obs_3	D1_Weber_RS44_TC001	D3_Weber_RS44_TC003	540574136.333194	65			normal
