parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters
inflowp	inflowp	log10	1e-05	1000	0.0275422870333817	1	parameterScaleUniform	
k00_01	k00_01	log10	1e-05	1000	1.55955250282695	1	parameterScaleUniform	
k00_10	k00_10	log10	1e-05	1000	2.16770410481969	1	parameterScaleUniform	
k01_00	k01_00	log10	1e-05	1000	1.62181009735893e-05	1	parameterScaleUniform	
k01_02	k01_02	log10	1e-05	1000	1.55238700995808	1	parameterScaleUniform	
k01_11	k01_11	log10	1.58489319246111e-06	1000	9.54992586021437e-06	1	parameterScaleUniform	
k02_01	k02_01	log10	1e-05	1000	0.0436515832240166	1	parameterScaleUniform	
k02_03	k02_03	log10	1e-05	1000	0.0208929613085404	1	parameterScaleUniform	
k02_12	k02_12	log10	1e-05	1000	0.0165958690743756	1	parameterScaleUniform	
k03_02	k03_02	log10	1e-05	1000	1.38038426460288e-05	1	parameterScaleUniform	
k03_13	k03_13	log10	1e-05	1000	0.0251188643150958	1	parameterScaleUniform	
k10_00	k10_00	log10	1e-05	1000	1.99526231496888e-05	1	parameterScaleUniform	
k10_11	k10_11	log10	1e-05	1000	588.843655355589	1	parameterScaleUniform	
k10_20	k10_20	log10	7.94328234724282e-07	1000	5.01187233627272e-06	1	parameterScaleUniform	
k11_01	k11_01	log10	1e-06	1000	7.07945784384137e-06	1	parameterScaleUniform	
k11_10	k11_10	log10	1e-05	1000	275.422870333817	1	parameterScaleUniform	
k11_12	k11_12	log10	1e-05	1000	4.43608643931433	1	parameterScaleUniform	
k11_21	k11_21	log10	1e-05	1000	0.353997341083435	1	parameterScaleUniform	
k12_02	k12_02	log10	1e-06	1000	6.16595001861482e-06	1	parameterScaleUniform	
k12_11	k12_11	log10	1e-05	1000	0.0588843655355589	1	parameterScaleUniform	
k12_13	k12_13	log10	1e-05	1000	0.0131825673855641	1	parameterScaleUniform	
k12_22	k12_22	log10	1e-05	1000	0.00426579518801593	1	parameterScaleUniform	
k13_03	k13_03	log10	1e-05	1000	1.20226443461741e-05	1	parameterScaleUniform	
k13_12	k13_12	log10	1e-05	1000	0.183653834334835	1	parameterScaleUniform	
k13_23	k13_23	log10	7.94328234724282e-07	1000	5.12861383991365e-06	1	parameterScaleUniform	
k20_10	k20_10	log10	1e-05	1000	1.0471285480509e-05	1	parameterScaleUniform	
k20_21	k20_21	log10	1e-05	1000	1.20226443461741e-05	1	parameterScaleUniform	
k20_30	k20_30	log10	1e-05	1000	0.250610925303211	1	parameterScaleUniform	
k21_11	k21_11	log10	1e-05	1000	1.90546071796325e-05	1	parameterScaleUniform	
k21_20	k21_20	log10	1e-05	1000	0.142232878712282	1	parameterScaleUniform	
k21_22	k21_22	log10	1e-05	1000	1.69824365246175e-05	1	parameterScaleUniform	
k21_31	k21_31	log10	1e-05	1000	1.38038426460288e-05	1	parameterScaleUniform	
k22_12	k22_12	log10	1e-05	1000	0.0758577575029184	1	parameterScaleUniform	
k22_21	k22_21	log10	7.94328234724282e-07	1000	5.37031796370253e-06	1	parameterScaleUniform	
k22_23	k22_23	log10	1e-05	1000	0.0512861383991365	1	parameterScaleUniform	
k22_32	k22_32	log10	1.58489319246111e-06	1000	9.1201083935591e-06	1	parameterScaleUniform	
k23_13	k23_13	log10	1e-05	1000	0.19010782799233	1	parameterScaleUniform	
k23_22	k23_22	log10	1e-06	1000	6.91830970918936e-06	1	parameterScaleUniform	
k30_20	k30_20	log10	1e-05	1000	1.14815362149688e-05	1	parameterScaleUniform	
k30_31	k30_31	log10	1e-05	1000	0.683911647281429	1	parameterScaleUniform	
k31_21	k31_21	log10	1e-05	1000	1e-05	1	parameterScaleUniform	
k31_30	k31_30	log10	1e-05	1000	1.0471285480509e-05	1	parameterScaleUniform	
k31_32	k31_32	log10	1e-05	1000	0.942323452603068	1	parameterScaleUniform	
k32_22	k32_22	log10	1e-05	1000	2.51767692775886	1	parameterScaleUniform	
k32_31	k32_31	log10	1.25892541179417e-06	1000	7.41310241300918e-06	1	parameterScaleUniform	
scale1_K27me0K36me3_Obs	scale1_K27me0K36me3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_K27me1K36me2_Obs	scale1_K27me1K36me2_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_K27me1K36me3_Obs	scale1_K27me1K36me3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_K27me2K36me3_Obs	scale1_K27me2K36me3_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
scale1_K27me3K36me0_Obs	scale1_K27me3K36me0_Obs	log10	1e-05	100000	1	1	parameterScaleUniform	
sd1_K27me0K36me3_Obs	sd1_K27me0K36me3_Obs	log10	0.0001	10	0.0200770545969039	1	parameterScaleUniform	
sd1_K27me1K36me2_Obs	sd1_K27me1K36me2_Obs	log10	0.001	100	0.189203863347004	1	parameterScaleUniform	
sd1_K27me1K36me3_Obs	sd1_K27me1K36me3_Obs	log10	0.0001	10	0.018901662311869	1	parameterScaleUniform	
sd1_K27me2K36me0_Obs	sd1_K27me2K36me0_Obs	log10	1e-05	1	0.00343874522229127	1	parameterScaleUniform	
sd1_K27me2K36me3_Obs	sd1_K27me2K36me3_Obs	log10	1e-05	1	0.00310598961990565	1	parameterScaleUniform	
sd1_K27me3K36me0_Obs	sd1_K27me3K36me0_Obs	log10	1e-05	1	0.00119729177760817	1	parameterScaleUniform	
