observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	noiseDistribution
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0359889110142614	0			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	3			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	3.5			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	4			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0374077536008454	4.5			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	6			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	6.5			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	7			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	8			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	8.5			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.014125046938842	9			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	9.5			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	10			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.022214113098828	15			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0204866863358169	20			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0194032934450639	25			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0222876650017724	30			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	35			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0208471690329466	40			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	45			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0269859715042318	50			normal
Compound_1_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0181521367414672	60			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0724698443735527	0			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	3			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	3.5			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	4			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0928514622691862	4.5			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	6			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	6.5			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	7			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	8			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0796760933096276	8.5			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	9			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	9.5			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	10			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.045034292330463	15			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0888012007416578	20			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0974605153890245	25			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0749223412745735	30			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	35			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0490527181859854	40			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	45			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0788994939939341	50			normal
Compound_2_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0664140318349314	60			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0417866762760381	0			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	3			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	3.5			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.03931390238897	4			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	4.5			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	6			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	6.5			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	7			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	8			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0271027461036044	8.5			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	9			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	9.5			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	10			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0441602198237674	15			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0485143480973692	20			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0494966840495365	25			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	0.0298969665038104	30			normal
Compound_3_Obs	D1_Zheng_RS41_TC001	D1_Zheng_RS41_TC001	NaN	35			normal
